Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,03-Mar-2014,27-Mar-2014,CE,8800.00,-,-,-,1.30,-,-,-,-,-,-,-,6221.45
NIFTY,03-Mar-2014,27-Mar-2014,CE,8700.00,-,-,-,10.40,-,-,-,-,-,-,-,6221.45
NIFTY,03-Mar-2014,27-Mar-2014,CE,8600.00,-,-,-,55.25,-,-,-,-,-,-,-,6221.45
NIFTY,03-Mar-2014,27-Mar-2014,CE,8500.00,-,-,-,1.50,1.50,-,-,-,-,850.00,-,6221.45
NIFTY,03-Mar-2014,27-Mar-2014,CE,8400.00,-,-,-,26.50,26.50,-,-,-,-,-,-,6221.45
NIFTY,03-Mar-2014,27-Mar-2014,CE,8300.00,-,-,-,42.30,-,-,-,-,-,-,-,6221.45
NIFTY,03-Mar-2014,27-Mar-2014,CE,8200.00,-,-,-,49.00,-,-,-,-,-,-,-,6221.45
NIFTY,03-Mar-2014,27-Mar-2014,CE,8100.00,-,-,-,56.70,-,-,-,-,-,-,-,6221.45
NIFTY,03-Mar-2014,27-Mar-2014,CE,8000.00,-,-,-,0.25,0.25,-,-,-,-,850.00,-,6221.45
NIFTY,03-Mar-2014,27-Mar-2014,CE,7900.00,-,-,-,1.00,1.00,-,-,-,-,450.00,-,6221.45
NIFTY,03-Mar-2014,27-Mar-2014,CE,7850.00,-,-,-,0.15,-,-,-,-,-,-,-,6221.45
NIFTY,03-Mar-2014,27-Mar-2014,CE,7800.00,-,-,-,0.05,0.05,-,-,-,-,-,-,6221.45
NIFTY,03-Mar-2014,27-Mar-2014,CE,7750.00,-,-,-,1.00,1.00,-,-,-,-,50.00,-,6221.45
NIFTY,03-Mar-2014,27-Mar-2014,CE,7700.00,-,-,-,1.00,1.00,-,-,-,-,50.00,-,6221.45
NIFTY,03-Mar-2014,27-Mar-2014,CE,7650.00,-,-,-,7.35,-,-,-,-,-,-,-,6221.45
NIFTY,03-Mar-2014,27-Mar-2014,CE,7600.00,-,-,-,95.05,-,-,-,-,-,-,-,6221.45
NIFTY,03-Mar-2014,27-Mar-2014,CE,7550.00,-,-,-,10.45,-,-,-,-,-,-,-,6221.45
NIFTY,03-Mar-2014,27-Mar-2014,CE,7500.00,0.60,0.70,0.55,0.65,0.70,0.65,665.00,2493.95,20072.50,206500.00,50.00,6221.45
NIFTY,03-Mar-2014,27-Mar-2014,CE,7450.00,-,-,-,14.70,-,-,-,-,-,-,-,6221.45
NIFTY,03-Mar-2014,27-Mar-2014,CE,7400.00,0.50,0.50,0.50,0.50,0.50,0.50,100.00,370.02,2500.00,1000.00,-,6221.45
NIFTY,03-Mar-2014,27-Mar-2014,CE,7350.00,-,-,-,20.40,-,-,-,-,-,-,-,6221.45
NIFTY,03-Mar-2014,27-Mar-2014,CE,7300.00,0.50,0.60,0.50,0.60,0.60,0.60,1491.00,5442.57,41627.50,200.00,-,6221.45
NIFTY,03-Mar-2014,27-Mar-2014,CE,7250.00,-,-,-,27.95,-,-,-,-,-,-,-,6221.45
NIFTY,03-Mar-2014,27-Mar-2014,CE,7200.00,0.65,0.70,0.60,0.70,0.70,0.70,1117.00,4021.56,35635.00,52000.00,11450.00,6221.45
NIFTY,03-Mar-2014,27-Mar-2014,CE,7150.00,-,-,-,37.80,-,0.05,-,-,-,-,-,6221.45
NIFTY,03-Mar-2014,27-Mar-2014,CE,7100.00,0.70,0.80,0.70,0.75,0.75,0.75,697.00,2474.61,25712.50,118000.00,8000.00,6221.45
NIFTY,03-Mar-2014,27-Mar-2014,CE,7050.00,-,-,-,12.00,12.00,0.05,-,-,-,50.00,-,6221.45
NIFTY,03-Mar-2014,27-Mar-2014,CE,7000.00,1.00,1.00,0.75,0.80,0.80,0.80,4093.00,14327.20,169722.50,557700.00,23650.00,6221.45
NIFTY,03-Mar-2014,27-Mar-2014,CE,6950.00,-,-,-,66.70,-,0.20,-,-,-,-,-,6221.45
NIFTY,03-Mar-2014,27-Mar-2014,CE,6900.00,1.10,1.15,0.85,0.90,0.85,0.90,2521.00,8698.64,119052.50,136850.00,-1750.00,6221.45
NIFTY,03-Mar-2014,27-Mar-2014,CE,6850.00,-,-,-,24.00,24.00,0.60,-,-,-,200.00,-,6221.45
NIFTY,03-Mar-2014,27-Mar-2014,CE,6800.00,1.45,1.50,1.05,1.10,1.05,1.10,5768.00,19614.73,352980.00,497250.00,24650.00,6221.45
NIFTY,03-Mar-2014,27-Mar-2014,CE,6750.00,2.35,2.35,0.45,0.45,0.45,0.45,2.00,6.75,140.00,300.00,-,6221.45
NIFTY,03-Mar-2014,27-Mar-2014,CE,6700.00,1.80,2.20,1.30,1.40,1.35,1.40,15944.00,53426.05,1365180.00,557600.00,57450.00,6221.45
NIFTY,03-Mar-2014,27-Mar-2014,CE,6650.00,2.85,2.85,1.85,1.85,1.85,1.85,35.00,116.42,4340.00,1300.00,1200.00,6221.45
NIFTY,03-Mar-2014,27-Mar-2014,CE,6600.00,4.70,5.35,2.85,3.00,2.95,3.00,74755.00,246833.01,14151230.00,1867750.00,100600.00,6221.45
NIFTY,03-Mar-2014,27-Mar-2014,CE,6550.00,6.00,8.65,4.50,4.85,4.75,4.85,637.00,2088.23,205720.00,43400.00,8800.00,6221.45
NIFTY,03-Mar-2014,27-Mar-2014,CE,6500.00,12.10,15.25,8.15,8.80,8.45,8.80,111824.00,364039.45,61145285.00,3022200.00,415050.00,6221.45
NIFTY,03-Mar-2014,27-Mar-2014,CE,6450.00,19.00,24.45,14.05,14.65,14.40,14.65,8015.00,25922.79,7441990.00,401500.00,56650.00,6221.45
NIFTY,03-Mar-2014,27-Mar-2014,CE,6400.00,32.10,38.80,23.20,24.70,23.60,24.70,200218.00,643686.13,298852967.50,4340500.00,361200.00,6221.45
NIFTY,03-Mar-2014,27-Mar-2014,CE,6350.00,46.05,57.40,36.40,38.25,36.65,38.25,15879.00,50776.74,36091250.00,512250.00,75750.00,6221.45
NIFTY,03-Mar-2014,27-Mar-2014,CE,6300.00,68.60,81.65,54.70,57.45,55.10,57.45,255931.00,814673.13,849047840.00,5116250.00,674150.00,6221.45
NIFTY,03-Mar-2014,27-Mar-2014,CE,6250.00,94.00,110.00,77.90,80.95,79.00,80.95,14251.00,45170.71,63633402.50,455750.00,103050.00,6221.45
NIFTY,03-Mar-2014,27-Mar-2014,CE,6200.00,125.00,143.00,104.75,108.95,106.95,108.95,83721.00,264521.34,498623792.50,3604400.00,256750.00,6221.45
NIFTY,03-Mar-2014,27-Mar-2014,CE,6150.00,160.95,179.10,137.95,140.30,138.05,140.30,663.00,2090.27,5154825.00,154600.00,-6350.00,6221.45
NIFTY,03-Mar-2014,27-Mar-2014,CE,6100.00,202.00,218.90,172.30,177.05,174.50,177.05,13514.00,42510.10,129239702.50,1576450.00,13050.00,6221.45
NIFTY,03-Mar-2014,27-Mar-2014,CE,6050.00,315.90,315.90,210.25,215.55,215.00,215.55,121.00,379.72,1369552.50,30300.00,-50.00,6221.45
NIFTY,03-Mar-2014,27-Mar-2014,CE,6000.00,287.65,304.60,250.85,260.20,256.95,260.20,5825.00,18271.91,79690577.50,1041000.00,-31600.00,6221.45
NIFTY,03-Mar-2014,27-Mar-2014,CE,5950.00,-,-,-,338.65,338.65,315.60,-,-,-,4950.00,-,6221.45
NIFTY,03-Mar-2014,27-Mar-2014,CE,5900.00,380.00,396.00,340.00,347.95,345.00,347.95,3068.00,9595.14,54454130.00,275600.00,-79900.00,6221.45
NIFTY,03-Mar-2014,27-Mar-2014,CE,5850.00,-,-,-,400.00,400.00,409.10,-,-,-,50.00,-,6221.45
NIFTY,03-Mar-2014,27-Mar-2014,CE,5800.00,473.20,490.00,431.15,436.35,435.00,436.35,1183.00,3700.02,26932237.50,554350.00,-9800.00,6221.45
NIFTY,03-Mar-2014,27-Mar-2014,CE,5750.00,-,-,-,689.25,-,506.35,-,-,-,-,-,6221.45
NIFTY,03-Mar-2014,27-Mar-2014,CE,5700.00,563.00,586.00,526.00,534.20,531.05,534.20,455.00,1420.02,12327077.50,346050.00,750.00,6221.45
NIFTY,03-Mar-2014,27-Mar-2014,CE,5650.00,-,-,-,636.00,632.00,605.10,-,-,-,150.00,-,6221.45
NIFTY,03-Mar-2014,27-Mar-2014,CE,5600.00,670.00,685.00,630.00,634.35,632.05,634.35,280.00,875.23,9123482.50,295050.00,500.00,6221.45
NIFTY,03-Mar-2014,27-Mar-2014,CE,5550.00,-,-,-,866.70,-,704.35,-,-,-,-,-,6221.45
NIFTY,03-Mar-2014,27-Mar-2014,CE,5500.00,760.00,780.00,725.00,729.85,730.00,729.85,137.00,427.58,5083327.50,272100.00,-3000.00,6221.45
NIFTY,03-Mar-2014,27-Mar-2014,CE,5450.00,-,-,-,959.35,-,803.75,-,-,-,-,-,6221.45
NIFTY,03-Mar-2014,27-Mar-2014,CE,5400.00,840.80,840.80,828.50,831.30,831.30,831.30,8.00,24.93,332880.00,54750.00,-250.00,6221.45
NIFTY,03-Mar-2014,27-Mar-2014,CE,5350.00,-,-,-,1053.70,-,903.15,-,-,-,-,-,6221.45
NIFTY,03-Mar-2014,27-Mar-2014,CE,5300.00,930.00,934.45,928.95,932.35,931.60,932.35,20.00,62.31,930512.50,60450.00,-,6221.45
NIFTY,03-Mar-2014,27-Mar-2014,CE,5250.00,-,-,-,1149.35,-,1002.55,-,-,-,-,-,6221.45
NIFTY,03-Mar-2014,27-Mar-2014,CE,5200.00,1054.30,1072.40,1028.10,1030.95,1031.00,1030.95,59.00,183.94,3054427.50,85850.00,-800.00,6221.45
NIFTY,03-Mar-2014,27-Mar-2014,CE,5150.00,-,-,-,1139.50,1139.50,1101.95,-,-,-,100.00,-,6221.45
NIFTY,03-Mar-2014,27-Mar-2014,CE,5100.00,1119.30,1129.95,1119.30,1129.55,1129.30,1129.55,39.00,121.46,2201435.00,50900.00,-,6221.45
NIFTY,03-Mar-2014,27-Mar-2014,CE,5050.00,1239.85,1239.85,1239.85,1239.85,1239.85,1239.85,135.00,424.56,8368987.50,-,-6750.00,6221.45
NIFTY,03-Mar-2014,27-Mar-2014,CE,5000.00,1256.50,1275.95,1217.00,1228.05,1230.00,1228.05,433.00,1348.85,26634547.50,603300.00,-12550.00,6221.45
NIFTY,03-Mar-2014,27-Mar-2014,CE,4950.00,1343.50,1343.50,1343.50,1343.50,1343.50,1343.50,143.00,449.99,9606025.00,-,-7150.00,6221.45
NIFTY,03-Mar-2014,27-Mar-2014,CE,4900.00,1348.00,1348.00,1319.90,1329.05,1329.40,1329.05,51.00,158.80,3385187.50,13050.00,-,6221.45
NIFTY,03-Mar-2014,27-Mar-2014,CE,4850.00,-,-,-,1537.75,-,1400.20,-,-,-,-,-,6221.45
NIFTY,03-Mar-2014,27-Mar-2014,CE,4800.00,-,-,-,1459.15,1459.15,1449.90,-,-,-,26000.00,-,6221.45
NIFTY,03-Mar-2014,27-Mar-2014,CE,4750.00,-,-,-,1569.00,-,1499.60,-,-,-,-,-,6221.45
NIFTY,03-Mar-2014,27-Mar-2014,CE,4700.00,1573.10,1573.10,1522.10,1522.35,1522.35,1522.35,3.00,9.36,230877.50,19250.00,-50.00,6221.45
NIFTY,03-Mar-2014,27-Mar-2014,CE,4650.00,-,-,-,1602.55,-,1599.00,-,-,-,-,-,6221.45
NIFTY,03-Mar-2014,27-Mar-2014,CE,4600.00,1648.55,1648.55,1615.00,1622.10,1622.00,1622.10,333.00,1036.13,27023285.00,149000.00,-6450.00,6221.45
NIFTY,03-Mar-2014,27-Mar-2014,CE,4550.00,-,-,-,1587.50,-,1698.40,-,-,-,-,-,6221.45
NIFTY,03-Mar-2014,27-Mar-2014,CE,4500.00,1750.00,1766.00,1716.20,1722.25,1716.20,1722.25,36.00,112.04,3104000.00,131150.00,1450.00,6221.45
NIFTY,03-Mar-2014,27-Mar-2014,CE,4400.00,-,-,-,1690.45,-,1847.50,-,-,-,-,-,6221.45
NIFTY,03-Mar-2014,27-Mar-2014,CE,4300.00,-,-,-,1780.40,-,1946.95,-,-,-,-,-,6221.45
NIFTY,03-Mar-2014,27-Mar-2014,CE,4200.00,-,-,-,1978.50,1978.50,2046.35,-,-,-,50.00,-,6221.45
NIFTY,03-Mar-2014,27-Mar-2014,CE,4100.00,-,-,-,1961.05,-,2145.75,-,-,-,-,-,6221.45
NIFTY,03-Mar-2014,27-Mar-2014,CE,4000.00,2272.20,2273.15,2200.00,2219.60,2222.70,2219.60,120.00,373.39,13338637.50,148700.00,-1150.00,6221.45
NIFTY,03-Mar-2014,27-Mar-2014,CE,3900.00,-,-,-,2142.30,-,2344.55,-,-,-,-,-,6221.45
NIFTY,03-Mar-2014,27-Mar-2014,CE,3800.00,-,-,-,2085.05,-,2443.95,-,-,-,-,-,6221.45
NIFTY,03-Mar-2014,27-Mar-2014,CE,3700.00,-,-,-,2150.60,-,2543.35,-,-,-,-,-,6221.45
NIFTY,03-Mar-2014,27-Mar-2014,CE,3600.00,-,-,-,2702.90,-,2642.80,-,-,-,-,-,6221.45
NIFTY,03-Mar-2014,27-Mar-2014,CE,3500.00,2761.80,2761.80,2712.00,2720.45,2720.90,2720.45,10.00,31.10,1359835.00,47200.00,-,6221.45
NIFTY,03-Mar-2014,24-Apr-2014,CE,7800.00,-,-,-,0.05,-,-,-,-,-,-,-,6221.45
NIFTY,03-Mar-2014,24-Apr-2014,CE,7750.00,-,-,-,0.05,-,0.05,-,-,-,-,-,6221.45
NIFTY,03-Mar-2014,24-Apr-2014,CE,7700.00,-,-,-,0.05,-,0.05,-,-,-,-,-,6221.45
NIFTY,03-Mar-2014,24-Apr-2014,CE,7650.00,-,-,-,0.10,-,0.05,-,-,-,-,-,6221.45
NIFTY,03-Mar-2014,24-Apr-2014,CE,7600.00,-,-,-,0.70,-,0.05,-,-,-,-,-,6221.45
NIFTY,03-Mar-2014,24-Apr-2014,CE,7550.00,-,-,-,1.20,-,0.05,-,-,-,-,-,6221.45
NIFTY,03-Mar-2014,24-Apr-2014,CE,7500.00,1.90,4.40,0.30,0.55,0.30,0.55,16.00,60.01,985.00,350.00,250.00,6221.45
NIFTY,03-Mar-2014,24-Apr-2014,CE,7450.00,-,-,-,2.00,-,0.15,-,-,-,-,-,6221.45
NIFTY,03-Mar-2014,24-Apr-2014,CE,7400.00,-,-,-,2.55,-,0.20,-,-,-,-,-,6221.45
NIFTY,03-Mar-2014,24-Apr-2014,CE,7350.00,-,-,-,3.20,-,0.30,-,-,-,-,-,6221.45
NIFTY,03-Mar-2014,24-Apr-2014,CE,7300.00,-,-,-,4.05,-,0.45,-,-,-,-,-,6221.45
NIFTY,03-Mar-2014,24-Apr-2014,CE,7250.00,-,-,-,5.05,-,0.65,-,-,-,-,-,6221.45
NIFTY,03-Mar-2014,24-Apr-2014,CE,7200.00,-,-,-,2.00,2.00,0.90,-,-,-,500.00,-,6221.45
NIFTY,03-Mar-2014,24-Apr-2014,CE,7150.00,-,-,-,7.85,-,1.35,-,-,-,-,-,6221.45
NIFTY,03-Mar-2014,24-Apr-2014,CE,7100.00,-,-,-,9.70,-,1.90,-,-,-,-,-,6221.45
NIFTY,03-Mar-2014,24-Apr-2014,CE,7050.00,-,-,-,11.95,-,2.75,-,-,-,-,-,6221.45
NIFTY,03-Mar-2014,24-Apr-2014,CE,7000.00,2.50,3.05,2.35,2.65,2.65,2.65,129.00,451.68,17790.00,48700.00,1650.00,6221.45
NIFTY,03-Mar-2014,24-Apr-2014,CE,6950.00,-,-,-,17.85,-,5.35,-,-,-,-,-,6221.45
NIFTY,03-Mar-2014,24-Apr-2014,CE,6900.00,4.00,4.85,3.65,3.65,3.65,3.65,89.00,307.24,18590.00,7750.00,-,6221.45
NIFTY,03-Mar-2014,24-Apr-2014,CE,6850.00,-,-,-,7.20,7.20,10.05,-,-,-,200.00,-,6221.45
NIFTY,03-Mar-2014,24-Apr-2014,CE,6800.00,9.15,9.40,6.40,6.55,6.40,6.55,1117.00,3802.06,425665.00,82100.00,27300.00,6221.45
NIFTY,03-Mar-2014,24-Apr-2014,CE,6750.00,-,-,-,10.50,10.50,17.95,-,-,-,-,-,6221.45
NIFTY,03-Mar-2014,24-Apr-2014,CE,6700.00,16.35,18.00,12.30,12.60,12.60,12.60,2070.00,6950.80,1629562.50,124150.00,28200.00,6221.45
NIFTY,03-Mar-2014,24-Apr-2014,CE,6650.00,-,-,-,22.50,22.00,30.70,-,-,-,100.00,-,6221.45
NIFTY,03-Mar-2014,24-Apr-2014,CE,6600.00,32.00,33.40,23.65,24.85,24.25,24.85,2928.00,9704.09,4168655.00,281950.00,17850.00,6221.45
NIFTY,03-Mar-2014,24-Apr-2014,CE,6550.00,45.00,45.00,28.35,28.35,28.35,28.35,2.00,6.59,3667.50,3900.00,-100.00,6221.45
NIFTY,03-Mar-2014,24-Apr-2014,CE,6500.00,54.00,58.45,43.40,45.40,44.50,45.40,4621.00,15131.33,11307767.50,435600.00,38950.00,6221.45
NIFTY,03-Mar-2014,24-Apr-2014,CE,6450.00,-,-,-,60.15,60.15,77.70,-,-,-,300.00,-,6221.45
NIFTY,03-Mar-2014,24-Apr-2014,CE,6400.00,87.00,96.20,74.00,77.50,76.30,77.50,4785.00,15508.44,19644167.50,549400.00,-34450.00,6221.45
NIFTY,03-Mar-2014,24-Apr-2014,CE,6350.00,95.00,96.00,95.00,96.00,96.00,96.00,2.00,6.45,9550.00,5300.00,100.00,6221.45
NIFTY,03-Mar-2014,24-Apr-2014,CE,6300.00,139.30,146.35,117.00,121.35,118.30,121.35,3851.00,12381.72,25106552.50,786150.00,44200.00,6221.45
NIFTY,03-Mar-2014,24-Apr-2014,CE,6250.00,180.45,180.45,143.30,146.25,146.25,146.25,11.00,35.27,89242.50,14350.00,-250.00,6221.45
NIFTY,03-Mar-2014,24-Apr-2014,CE,6200.00,194.90,218.25,172.95,176.85,175.00,176.85,1626.00,5193.71,15310565.00,507350.00,16100.00,6221.45
NIFTY,03-Mar-2014,24-Apr-2014,CE,6150.00,240.00,240.00,202.50,202.50,202.50,202.50,4.00,12.73,43125.00,17900.00,-50.00,6221.45
NIFTY,03-Mar-2014,24-Apr-2014,CE,6100.00,273.00,281.00,240.00,244.10,240.05,244.10,176.00,559.82,2302395.00,181400.00,-850.00,6221.45
NIFTY,03-Mar-2014,24-Apr-2014,CE,6050.00,-,-,-,280.00,280.00,296.30,-,-,-,100.00,-,6221.45
NIFTY,03-Mar-2014,24-Apr-2014,CE,6000.00,352.35,360.00,315.00,320.35,317.00,320.35,256.00,810.63,4263440.00,191550.00,-1100.00,6221.45
NIFTY,03-Mar-2014,24-Apr-2014,CE,5950.00,-,-,-,325.00,325.00,376.45,-,-,-,600.00,-,6221.45
NIFTY,03-Mar-2014,24-Apr-2014,CE,5900.00,433.30,445.00,394.10,401.10,394.75,401.10,40.00,126.59,858810.00,61450.00,250.00,6221.45
NIFTY,03-Mar-2014,24-Apr-2014,CE,5850.00,437.60,437.60,437.60,437.60,437.60,437.60,2.00,6.29,43760.00,100.00,100.00,6221.45
NIFTY,03-Mar-2014,24-Apr-2014,CE,5800.00,530.00,531.65,484.00,487.00,487.00,487.00,221.00,696.55,5564637.50,77500.00,-,6221.45
NIFTY,03-Mar-2014,24-Apr-2014,CE,5750.00,-,-,-,486.75,-,555.70,-,-,-,-,-,6221.45
NIFTY,03-Mar-2014,24-Apr-2014,CE,5700.00,621.10,621.10,572.80,578.20,578.20,578.20,25.00,78.52,726650.00,8100.00,1150.00,6221.45
NIFTY,03-Mar-2014,24-Apr-2014,CE,5650.00,-,-,-,569.60,-,650.95,-,-,-,-,-,6221.45
NIFTY,03-Mar-2014,24-Apr-2014,CE,5600.00,704.25,722.45,668.00,668.00,668.00,668.00,125.00,394.41,4441330.00,22600.00,5400.00,6221.45
NIFTY,03-Mar-2014,24-Apr-2014,CE,5550.00,-,-,-,657.00,-,748.05,-,-,-,-,-,6221.45
NIFTY,03-Mar-2014,24-Apr-2014,CE,5500.00,798.95,818.95,765.00,767.00,765.00,767.00,92.00,289.83,3683062.50,54800.00,3300.00,6221.45
NIFTY,03-Mar-2014,24-Apr-2014,CE,5450.00,-,-,-,824.85,824.85,846.00,-,-,-,16550.00,-,6221.45
NIFTY,03-Mar-2014,24-Apr-2014,CE,5400.00,-,-,-,913.00,913.00,895.15,-,-,-,100.00,-,6221.45
