,_id,FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_UNDERLYING_VALUE,TIMESTAMP
0,642c3594e2684b2e01a227a4,OPTIDX,NIFTY,29-Aug-2013,4300,CE,N,0,0,0,956.15,956.15,956.15,1461.45,0,0,0,0,50,14-Aug-2013,5742.3,2013-08-13T18:30:00.000Z
1,642c3594e2684b2e01a22796,OPTIDX,NIFTY,29-Aug-2013,4400,CE,N,1299,1347.65,1294,1339.95,1347.65,1302.8,1339.95,29000,165763417.5,94200,2800,50,14-Aug-2013,5742.3,2013-08-13T18:30:00.000Z
2,642c3593e2684b2e01a1e1c0,OPTIDX,NIFTY,29-Aug-2013,4500,CE,N,1206.65,1246.75,1195,1243.55,1245.2,1205.8,1243.55,14850,84882355,255150,-350,50,14-Aug-2013,5742.3,2013-08-13T18:30:00.000Z
3,642c3593e2684b2e01a1e1b8,OPTIDX,NIFTY,29-Aug-2013,4600,CE,N,0,0,0,1030.2,1030.2,1030.2,1162.75,0,0,400,0,50,14-Aug-2013,5742.3,2013-08-13T18:30:00.000Z
4,642c3594e2684b2e01a225f3,OPTIDX,NIFTY,29-Aug-2013,4700,CE,N,1022.25,1022.25,1022.25,1022.25,1022.25,1005.6,1022.25,50,286112.5,63700,-50,50,14-Aug-2013,5742.3,2013-08-13T18:30:00.000Z
5,642c3594e2684b2e01a225e5,OPTIDX,NIFTY,29-Aug-2013,4800,CE,N,923,923,923,923,923,899,923,50,286150,11100,0,50,14-Aug-2013,5742.3,2013-08-13T18:30:00.000Z
6,642c3594e2684b2e01a225dc,OPTIDX,NIFTY,29-Aug-2013,4900,CE,N,813,824,813,824,824,802,824,150,857500,17800,-100,50,14-Aug-2013,5742.3,2013-08-13T18:30:00.000Z
7,642c3594e2684b2e01a225c5,OPTIDX,NIFTY,29-Aug-2013,5000,CE,N,710,754.2,699,745.5,754.2,702.15,745.5,12500,71599240,221250,-5650,50,14-Aug-2013,5742.3,2013-08-13T18:30:00.000Z
8,642c3594e2684b2e01a225b9,OPTIDX,NIFTY,29-Aug-2013,5100,CE,N,605.95,650,597.25,644.35,649.4,607.25,644.35,15150,86740827.5,99600,-150,50,14-Aug-2013,5742.3,2013-08-13T18:30:00.000Z
9,642c3594e2684b2e01a225b2,OPTIDX,NIFTY,29-Aug-2013,5200,CE,N,506,556.7,499,550.5,555.15,508.15,550.5,19750,113350587.5,146650,-9550,50,14-Aug-2013,5742.3,2013-08-13T18:30:00.000Z
10,642c3594e2684b2e01a225a4,OPTIDX,NIFTY,29-Aug-2013,5300,CE,N,409,457.25,402.8,444.2,457.25,411.05,444.2,26200,150014377.5,151850,-12750,50,14-Aug-2013,5742.3,2013-08-13T18:30:00.000Z
11,642c3594e2684b2e01a22592,OPTIDX,NIFTY,29-Aug-2013,5400,CE,N,313.4,361.3,308.15,353.15,357,318.75,353.15,108050,619096722.5,727300,-50550,50,14-Aug-2013,5742.3,2013-08-13T18:30:00.000Z
12,642c3594e2684b2e01a22582,OPTIDX,NIFTY,29-Aug-2013,5500,CE,N,227.4,268,215.55,259.85,265.6,232.2,259.85,527300,3027219467.5,1319250,-132900,50,14-Aug-2013,5742.3,2013-08-13T18:30:00.000Z
13,642c3594e2684b2e01a22576,OPTIDX,NIFTY,29-Aug-2013,5600,CE,N,153.2,185.05,142.95,174.9,180.7,151.65,174.9,4754700,27380891987.5,2790950,-889900,50,14-Aug-2013,5742.3,2013-08-13T18:30:00.000Z
14,642c3594e2684b2e01a22568,OPTIDX,NIFTY,29-Aug-2013,5700,CE,N,88.8,111.85,78,102.85,108.1,86.95,102.85,16221900,93945696607.5,4470300,-132950,50,14-Aug-2013,5742.3,2013-08-13T18:30:00.000Z
15,642c3594e2684b2e01a224af,OPTIDX,NIFTY,29-Aug-2013,5800,CE,N,45,56.5,37.5,51.25,55,42.8,51.25,21456450,125412185342.5,4927650,-443550,50,14-Aug-2013,5742.3,2013-08-13T18:30:00.000Z
16,642c3594e2684b2e01a224a7,OPTIDX,NIFTY,29-Aug-2013,5900,CE,N,17,24,14.4,21.25,23.3,17.45,21.25,15757500,93255373687.5,5947700,-208250,50,14-Aug-2013,5742.3,2013-08-13T18:30:00.000Z
17,642c3594e2684b2e01a22098,OPTIDX,NIFTY,29-Aug-2013,6000,CE,N,6.65,9.05,5.3,8.1,8.8,6.65,8.1,5395650,32410009382.5,5951400,-243650,50,14-Aug-2013,5742.3,2013-08-13T18:30:00.000Z
18,642c3594e2684b2e01a22088,OPTIDX,NIFTY,29-Aug-2013,6100,CE,N,3,3.6,2.15,3.15,3.55,2.85,3.15,3154550,19251090657.5,3961700,88300,50,14-Aug-2013,5742.3,2013-08-13T18:30:00.000Z
19,642c3594e2684b2e01a22080,OPTIDX,NIFTY,29-Aug-2013,6200,CE,N,1.75,1.8,1.2,1.45,1.55,1.5,1.45,951900,5903065162.5,2206650,900,50,14-Aug-2013,5742.3,2013-08-13T18:30:00.000Z
20,642c3594e2684b2e01a2206d,OPTIDX,NIFTY,29-Aug-2013,6300,CE,N,1.1,1.1,.7,1.05,1.05,1.1,1.05,374950,2362560420,1708800,-48950,50,14-Aug-2013,5742.3,2013-08-13T18:30:00.000Z
21,642c3594e2684b2e01a2205f,OPTIDX,NIFTY,29-Aug-2013,6400,CE,N,.7,1,.65,.75,.65,.9,.75,333900,2137198280,1004350,-58150,50,14-Aug-2013,5742.3,2013-08-13T18:30:00.000Z
22,642c3594e2684b2e01a22052,OPTIDX,NIFTY,29-Aug-2013,6500,CE,N,.75,.75,.5,.6,.65,.75,.6,162050,1053417790,786050,-3300,50,14-Aug-2013,5742.3,2013-08-13T18:30:00.000Z
23,642c3594e2684b2e01a22046,OPTIDX,NIFTY,29-Aug-2013,6600,CE,N,.6,.65,.5,.6,.55,.65,.6,206050,1360051982.5,443750,20050,50,14-Aug-2013,5742.3,2013-08-13T18:30:00.000Z
24,642c3594e2684b2e01a22038,OPTIDX,NIFTY,29-Aug-2013,6700,CE,N,.5,.6,.4,.5,.5,.5,.5,206650,1384652630,248600,-2950,50,14-Aug-2013,5742.3,2013-08-13T18:30:00.000Z
25,642c3594e2684b2e01a22026,OPTIDX,NIFTY,29-Aug-2013,6800,CE,N,.6,.6,.4,.4,.4,.35,.4,1600,10880697.5,10550,0,50,14-Aug-2013,5742.3,2013-08-13T18:30:00.000Z
26,642c3594e2684b2e01a22018,OPTIDX,NIFTY,29-Aug-2013,6900,CE,N,.3,.3,.15,.15,.15,.15,.15,16200,111783652.5,3450,0,50,14-Aug-2013,5742.3,2013-08-13T18:30:00.000Z
27,642c3594e2684b2e01a2200e,OPTIDX,NIFTY,29-Aug-2013,7000,CE,N,.2,.2,.15,.2,.2,.2,.2,4050,28350742.5,71700,-300,50,14-Aug-2013,5742.3,2013-08-13T18:30:00.000Z
28,642c3594e2684b2e01a21f68,OPTIDX,NIFTY,29-Aug-2013,7100,CE,N,0,0,0,.05,.05,.05,0,0,0,200,0,50,14-Aug-2013,5742.3,2013-08-13T18:30:00.000Z
29,642c3594e2684b2e01a21f56,OPTIDX,NIFTY,29-Aug-2013,7200,CE,N,0,0,0,.05,.05,.05,0,0,0,0,0,50,14-Aug-2013,5742.3,2013-08-13T18:30:00.000Z
30,642c3594e2684b2e01a21f48,OPTIDX,NIFTY,29-Aug-2013,7300,CE,N,0,0,0,.2,.2,.2,0,0,0,200,0,50,14-Aug-2013,5742.3,2013-08-13T18:30:00.000Z
31,642c3594e2684b2e01a21b19,OPTIDX,NIFTY,29-Aug-2013,7400,CE,N,0,0,0,10.6,0,10.6,0,0,0,0,0,50,14-Aug-2013,5742.3,2013-08-13T18:30:00.000Z
32,642c3594e2684b2e01a21b0b,OPTIDX,NIFTY,29-Aug-2013,7500,CE,N,0,0,0,.05,.05,.05,0,0,0,0,0,50,14-Aug-2013,5742.3,2013-08-13T18:30:00.000Z
33,642c3594e2684b2e01a21b06,OPTIDX,NIFTY,29-Aug-2013,7600,CE,N,0,0,0,5.25,0,5.25,0,0,0,0,0,50,14-Aug-2013,5742.3,2013-08-13T18:30:00.000Z
34,642c3594e2684b2e01a21af2,OPTIDX,NIFTY,29-Aug-2013,7700,CE,N,0,0,0,3.65,0,3.65,0,0,0,0,0,50,14-Aug-2013,5742.3,2013-08-13T18:30:00.000Z
