,_id,FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_UNDERLYING_VALUE,TIMESTAMP
0,642c340ae2684b2e0118ab2a,OPTIDX,NIFTY,26-Feb-2014,4500,CE,N,1439,1439,1439,1439,1439,1526.95,1439,150,890850,150,150,50,12-Feb-2014,6084,2014-02-11T18:30:00.000Z
1,642c340ae2684b2e0118ab29,OPTIDX,NIFTY,26-Feb-2014,4550,CE,N,0,0,0,1450.05,1450.05,1450.05,1549.7,0,0,50,0,50,12-Feb-2014,6084,2014-02-11T18:30:00.000Z
2,642c340ae2684b2e0118ab27,OPTIDX,NIFTY,26-Feb-2014,4600,CE,N,1487.05,1514.2,1481.65,1486.5,1484.9,1462.4,1486.5,6000,36569942.5,227750,800,50,12-Feb-2014,6084,2014-02-11T18:30:00.000Z
3,642c340ae2684b2e0118ab24,OPTIDX,NIFTY,26-Feb-2014,4650,CE,N,0,0,0,1548.6,0,1548.6,1450.05,0,0,0,0,50,12-Feb-2014,6084,2014-02-11T18:30:00.000Z
4,642c340ae2684b2e0118ab25,OPTIDX,NIFTY,26-Feb-2014,4700,CE,N,0,0,0,1350.35,1350.35,1350.35,1400.2,0,0,19550,0,50,12-Feb-2014,6084,2014-02-11T18:30:00.000Z
5,642c340ae2684b2e0118ab22,OPTIDX,NIFTY,26-Feb-2014,4750,CE,N,0,0,0,1451.45,0,1451.45,1350.35,0,0,0,0,50,12-Feb-2014,6084,2014-02-11T18:30:00.000Z
6,642c340ae2684b2e0118ab1f,OPTIDX,NIFTY,26-Feb-2014,4800,CE,N,1285.65,1285.65,1281.05,1281.05,1281.05,1264.45,1281.05,300,1825465,16050,0,50,12-Feb-2014,6084,2014-02-11T18:30:00.000Z
7,642c340ae2684b2e0118ab1d,OPTIDX,NIFTY,26-Feb-2014,4850,CE,N,0,0,0,1354.65,0,1354.65,1250.7,0,0,0,0,50,12-Feb-2014,6084,2014-02-11T18:30:00.000Z
8,642c340ae2684b2e0118ab19,OPTIDX,NIFTY,26-Feb-2014,4900,CE,N,1202.4,1202.4,1202.4,1202.4,1202.4,1173.95,1202.4,50,305120,11950,0,50,12-Feb-2014,6084,2014-02-11T18:30:00.000Z
9,642c340ae2684b2e0118ab1a,OPTIDX,NIFTY,26-Feb-2014,4950,CE,N,0,0,0,1258.5,0,1258.5,1151.05,0,0,0,0,50,12-Feb-2014,6084,2014-02-11T18:30:00.000Z
10,642c340ae2684b2e0118ab1b,OPTIDX,NIFTY,26-Feb-2014,5000,CE,N,1087.5,1111,1082.05,1089.85,1089,1064,1089.85,7900,48154787.5,421300,1200,50,12-Feb-2014,6084,2014-02-11T18:30:00.000Z
11,642c340ae2684b2e0118ab14,OPTIDX,NIFTY,26-Feb-2014,5050,CE,N,0,0,0,1163.2,0,1163.2,1051.4,0,0,0,0,50,12-Feb-2014,6084,2014-02-11T18:30:00.000Z
