,_id,FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_UNDERLYING_VALUE,TIMESTAMP
0,642c340ae2684b2e0118ab2b,OPTIDX,NIFTY,26-Feb-2014,4500,PE,N,0,0,0,.05,0,.05,0,0,0,0,0,50,12-Feb-2014,6084,2014-02-11T18:30:00.000Z
1,642c340ae2684b2e0118ab28,OPTIDX,NIFTY,26-Feb-2014,4550,PE,N,0,0,0,1.5,1.5,1.5,0,0,0,50,0,50,12-Feb-2014,6084,2014-02-11T18:30:00.000Z
2,642c340ae2684b2e0118ab26,OPTIDX,NIFTY,26-Feb-2014,4600,PE,N,.1,.2,.1,.15,.15,.2,.15,55250,254160470,33200,-53050,50,12-Feb-2014,6084,2014-02-11T18:30:00.000Z
3,642c340ae2684b2e0118ab23,OPTIDX,NIFTY,26-Feb-2014,4650,PE,N,0,0,0,.1,.1,.1,0,0,0,0,0,50,12-Feb-2014,6084,2014-02-11T18:30:00.000Z
4,642c340ae2684b2e0118ab21,OPTIDX,NIFTY,26-Feb-2014,4700,PE,N,0,0,0,.2,.2,.2,0,0,0,37150,0,50,12-Feb-2014,6084,2014-02-11T18:30:00.000Z
5,642c340ae2684b2e0118ab20,OPTIDX,NIFTY,26-Feb-2014,4750,PE,N,0,0,0,.1,.1,.1,0,0,0,0,0,50,12-Feb-2014,6084,2014-02-11T18:30:00.000Z
6,642c340ae2684b2e0118ab1e,OPTIDX,NIFTY,26-Feb-2014,4800,PE,N,.2,.2,.2,.2,.2,.25,.2,50,240010,46600,-50,50,12-Feb-2014,6084,2014-02-11T18:30:00.000Z
7,642c340ae2684b2e0118ab1c,OPTIDX,NIFTY,26-Feb-2014,4850,PE,N,0,0,0,2.15,0,2.15,0,0,0,0,0,50,12-Feb-2014,6084,2014-02-11T18:30:00.000Z
8,642c340ae2684b2e0118ab15,OPTIDX,NIFTY,26-Feb-2014,4900,PE,N,.35,.35,.3,.3,.3,.3,.3,21200,103887412.5,15250,-21100,50,12-Feb-2014,6084,2014-02-11T18:30:00.000Z
9,642c340ae2684b2e0118ab17,OPTIDX,NIFTY,26-Feb-2014,4950,PE,N,0,0,0,3.65,0,3.65,0,0,0,0,0,50,12-Feb-2014,6084,2014-02-11T18:30:00.000Z
