,_id,FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_UNDERLYING_VALUE,TIMESTAMP
0,642c2e2fe2684b2e01db3576,OPTIDX,NIFTY,26-Feb-2015,10000,CE,N,1.7,2,1.55,1.85,1.8,1.8,1.85,660425,6605376071.25,919825,-14600,25,12-Feb-2015,8711.55,2015-02-11T18:30:00.000Z
1,642c2e2fe2684b2e01db3571,OPTIDX,NIFTY,26-Feb-2015,10050,CE,N,0,0,0,2.15,2.15,2.15,0,0,0,200,0,25,12-Feb-2015,8711.55,2015-02-11T18:30:00.000Z
2,642c2e2fe2684b2e01db3573,OPTIDX,NIFTY,26-Feb-2015,10100,CE,N,1.55,1.75,1.55,1.75,1.7,1.75,1.75,46925,474022191.25,140925,10100,25,12-Feb-2015,8711.55,2015-02-11T18:30:00.000Z
3,642c2e2fe2684b2e01db356f,OPTIDX,NIFTY,26-Feb-2015,10150,CE,N,0,0,0,3,3,3,0,0,0,50,0,25,12-Feb-2015,8711.55,2015-02-11T18:30:00.000Z
4,642c2e2fe2684b2e01db356d,OPTIDX,NIFTY,26-Feb-2015,10200,CE,N,0,0,0,.05,.05,.05,0,0,0,1700,0,25,12-Feb-2015,8711.55,2015-02-11T18:30:00.000Z
5,642c2e2fe2684b2e01db3569,OPTIDX,NIFTY,26-Feb-2015,10250,CE,N,0,0,0,2.2,0,2.2,0,0,0,0,0,25,12-Feb-2015,8711.55,2015-02-11T18:30:00.000Z
6,642c2e2fe2684b2e01db356b,OPTIDX,NIFTY,26-Feb-2015,10300,CE,N,0,0,0,1.15,0,1.15,0,0,0,0,0,25,12-Feb-2015,8711.55,2015-02-11T18:30:00.000Z
7,642c2e2fe2684b2e01db3568,OPTIDX,NIFTY,26-Feb-2015,10350,CE,N,0,0,0,.9,0,.9,0,0,0,0,0,25,12-Feb-2015,8711.55,2015-02-11T18:30:00.000Z
8,642c2e2fe2684b2e01db3566,OPTIDX,NIFTY,26-Feb-2015,10400,CE,N,0,0,0,.85,0,.85,0,0,0,0,0,25,12-Feb-2015,8711.55,2015-02-11T18:30:00.000Z
9,642c2e2fe2684b2e01db3564,OPTIDX,NIFTY,26-Feb-2015,10450,CE,N,0,0,0,.35,0,.35,0,0,0,0,0,25,12-Feb-2015,8711.55,2015-02-11T18:30:00.000Z
10,642c2e2fe2684b2e01db39b0,OPTIDX,NIFTY,26-Feb-2015,6550,CE,N,2099.2,2207,2076,2207,2207,2000,2207,100,866732.5,38925,-75,25,12-Feb-2015,8711.55,2015-02-11T18:30:00.000Z
11,642c2e2fe2684b2e01db39ad,OPTIDX,NIFTY,26-Feb-2015,6600,CE,N,2079,2144.05,2030,2139.1,2144.05,2055.15,2139.1,275,2396463.75,275200,150,25,12-Feb-2015,8711.55,2015-02-11T18:30:00.000Z
12,642c2e2fe2684b2e01db39ae,OPTIDX,NIFTY,26-Feb-2015,6650,CE,N,0,0,0,1529.1,0,1529.1,2082.85,0,0,0,0,25,12-Feb-2015,8711.55,2015-02-11T18:30:00.000Z
13,642c2e2fe2684b2e01db39ac,OPTIDX,NIFTY,26-Feb-2015,6700,CE,N,1950,2050,1919.95,2031,2050,1960,2031,2100,18206370,309525,-1750,25,12-Feb-2015,8711.55,2015-02-11T18:30:00.000Z
14,642c2e2fe2684b2e01db39a8,OPTIDX,NIFTY,26-Feb-2015,6750,CE,N,0,0,0,1589.75,0,1589.75,1983.2,0,0,0,0,25,12-Feb-2015,8711.55,2015-02-11T18:30:00.000Z
15,642c2e2fe2684b2e01db39a0,OPTIDX,NIFTY,26-Feb-2015,6800,CE,N,1860.1,1946.2,1820.1,1932.6,1946.2,1856.8,1932.6,375,3255793.75,55075,-300,25,12-Feb-2015,8711.55,2015-02-11T18:30:00.000Z
16,642c2e2fe2684b2e01db39a2,OPTIDX,NIFTY,26-Feb-2015,6850,CE,N,0,0,0,1616.8,0,1616.8,1883.5,0,0,0,0,25,12-Feb-2015,8711.55,2015-02-11T18:30:00.000Z
17,642c2e2fe2684b2e01db39a3,OPTIDX,NIFTY,26-Feb-2015,6900,CE,N,1745.05,1790.95,1745.05,1790.95,1790.95,1736.9,1790.95,50,433400,11800,0,25,12-Feb-2015,8711.55,2015-02-11T18:30:00.000Z
18,642c2e2fe2684b2e01db39aa,OPTIDX,NIFTY,26-Feb-2015,6950,CE,N,0,0,0,1618.35,0,1618.35,1783.8,0,0,0,0,25,12-Feb-2015,8711.55,2015-02-11T18:30:00.000Z
19,642c2e2fe2684b2e01db39a6,OPTIDX,NIFTY,26-Feb-2015,7000,CE,N,1680,1756.1,1619.75,1740.9,1756.1,1657.65,1740.9,14575,126245496.25,439650,-2075,25,12-Feb-2015,8711.55,2015-02-11T18:30:00.000Z
20,642c2e2fe2684b2e01db399e,OPTIDX,NIFTY,26-Feb-2015,7050,CE,N,0,0,0,1594.5,0,1594.5,1684.15,0,0,0,0,25,12-Feb-2015,8711.55,2015-02-11T18:30:00.000Z
21,642c2e2fe2684b2e01db3999,OPTIDX,NIFTY,26-Feb-2015,7100,CE,N,0,0,0,1525,1525,1525,1634.3,0,0,17775,0,25,12-Feb-2015,8711.55,2015-02-11T18:30:00.000Z
22,642c2e2fe2684b2e01db3997,OPTIDX,NIFTY,26-Feb-2015,7150,CE,N,0,0,0,1496.7,0,1496.7,1584.45,0,0,0,0,25,12-Feb-2015,8711.55,2015-02-11T18:30:00.000Z
23,642c2e2fe2684b2e01db3996,OPTIDX,NIFTY,26-Feb-2015,7200,CE,N,1469.3,1518.35,1467,1518.35,1518.35,1453.7,1518.35,875,7592717.5,82450,-800,25,12-Feb-2015,8711.55,2015-02-11T18:30:00.000Z
