,_id,FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_UNDERLYING_VALUE,TIMESTAMP
0,642c2c0fe2684b2e01ba2e42,OPTIDX,NIFTY,25-Aug-2016,10000,PE,N,1411,1417.65,1363,1377.2,1372,1383.35,1377.2,12450,141909007.5,314175,-6975,75,11-Aug-2016,8592.15,2016-08-10T18:30:00.000Z
1,642c2c0fe2684b2e01ba5abd,OPTIDX,NIFTY,25-Aug-2016,10050,PE,N,0,0,0,1405.15,0,1405.15,1431.55,0,0,0,0,75,11-Aug-2016,8592.15,2016-08-10T18:30:00.000Z
2,642c2c0fe2684b2e01ba3d5b,OPTIDX,NIFTY,25-Aug-2016,10100,PE,N,0,0,0,1404.6,0,1404.6,1481.4,0,0,0,0,75,11-Aug-2016,8592.15,2016-08-10T18:30:00.000Z
3,642c2c0fe2684b2e01ba3d58,OPTIDX,NIFTY,25-Aug-2016,10150,PE,N,0,0,0,1413.6,1413.6,1413.6,1531.3,0,0,150,0,75,11-Aug-2016,8592.15,2016-08-10T18:30:00.000Z
4,642c2c10e2684b2e01bb1e93,OPTIDX,NIFTY,25-Aug-2016,10200,PE,N,0,0,0,1482.7,0,1482.7,1581.15,0,0,0,0,75,11-Aug-2016,8592.15,2016-08-10T18:30:00.000Z
5,642c2c10e2684b2e01bae5d0,OPTIDX,NIFTY,25-Aug-2016,6550,PE,N,0,0,0,.05,.05,.05,0,0,0,300,0,75,11-Aug-2016,8592.15,2016-08-10T18:30:00.000Z
6,642c2c10e2684b2e01bae5d1,OPTIDX,NIFTY,25-Aug-2016,6600,PE,N,.3,.6,.3,.35,.35,.55,.35,4350,28711605,38550,225,75,11-Aug-2016,8592.15,2016-08-10T18:30:00.000Z
7,642c2c10e2684b2e01bae5c9,OPTIDX,NIFTY,25-Aug-2016,6650,PE,N,0,0,0,4.05,0,4.05,0,0,0,0,0,75,11-Aug-2016,8592.15,2016-08-10T18:30:00.000Z
8,642c2c10e2684b2e01bae5cf,OPTIDX,NIFTY,25-Aug-2016,6700,PE,N,0,0,0,.6,.6,.6,0,0,0,1500,0,75,11-Aug-2016,8592.15,2016-08-10T18:30:00.000Z
9,642c2c10e2684b2e01bae5cc,OPTIDX,NIFTY,25-Aug-2016,6750,PE,N,0,0,0,6.2,0,6.2,0,0,0,0,0,75,11-Aug-2016,8592.15,2016-08-10T18:30:00.000Z
10,642c2c10e2684b2e01bae5d3,OPTIDX,NIFTY,25-Aug-2016,6800,PE,N,0,0,0,.45,.45,.45,0,0,0,750,0,75,11-Aug-2016,8592.15,2016-08-10T18:30:00.000Z
11,642c2c10e2684b2e01bae5db,OPTIDX,NIFTY,25-Aug-2016,6850,PE,N,0,0,0,9.2,0,9.2,0,0,0,0,0,75,11-Aug-2016,8592.15,2016-08-10T18:30:00.000Z
12,642c2c10e2684b2e01bae5dc,OPTIDX,NIFTY,25-Aug-2016,6900,PE,N,0,0,0,.65,.65,.65,0,0,0,4275,0,75,11-Aug-2016,8592.15,2016-08-10T18:30:00.000Z
13,642c2c10e2684b2e01bae5d6,OPTIDX,NIFTY,25-Aug-2016,6950,PE,N,0,0,0,13.4,0,13.4,0,0,0,0,0,75,11-Aug-2016,8592.15,2016-08-10T18:30:00.000Z
14,642c2c10e2684b2e01bae5da,OPTIDX,NIFTY,25-Aug-2016,7000,PE,N,.95,.95,.75,.85,.85,1,.85,39150,274083472.5,156450,225,75,11-Aug-2016,8592.15,2016-08-10T18:30:00.000Z
15,642c2c10e2684b2e01bae5d8,OPTIDX,NIFTY,25-Aug-2016,7050,PE,N,0,0,0,19,0,19,0,0,0,0,0,75,11-Aug-2016,8592.15,2016-08-10T18:30:00.000Z
16,642c2c10e2684b2e01bae5df,OPTIDX,NIFTY,25-Aug-2016,7100,PE,N,.9,.9,.75,.8,.8,1,.8,2475,17574543.75,26400,-825,75,11-Aug-2016,8592.15,2016-08-10T18:30:00.000Z
17,642c2c10e2684b2e01bae5e3,OPTIDX,NIFTY,25-Aug-2016,7150,PE,N,0,0,0,26.5,0,26.5,0,0,0,0,0,75,11-Aug-2016,8592.15,2016-08-10T18:30:00.000Z
18,642c2c10e2684b2e01bae5e6,OPTIDX,NIFTY,25-Aug-2016,7200,PE,N,1.05,1.1,.85,.9,.85,1.2,.9,19650,141499402.5,259275,-150,75,11-Aug-2016,8592.15,2016-08-10T18:30:00.000Z
