,_id,FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_UNDERLYING_VALUE,TIMESTAMP
0,642c2c00e2684b2e01afc2d7,OPTIDX,NIFTY,28-Sep-2017,10000,CE,N,129.95,173.5,129.75,150.2,150.2,136.05,150.2,4694775,47664746827.5,2889000,-569550,75,14-Sep-2017,10086.6,2017-09-13T18:30:00.000Z
1,642c2c00e2684b2e01afc2dc,OPTIDX,NIFTY,28-Sep-2017,10050,CE,N,102.4,132.5,98,111.65,112,101.35,111.65,575550,5849076607.5,647850,-4350,75,14-Sep-2017,10086.6,2017-09-13T18:30:00.000Z
2,642c2c00e2684b2e01afc2d9,OPTIDX,NIFTY,28-Sep-2017,10100,CE,N,72.65,99.8,65,80.55,81.05,72.65,80.55,15904800,161943790203.75,4125375,57750,75,14-Sep-2017,10086.6,2017-09-13T18:30:00.000Z
3,642c2c00e2684b2e01afc2dd,OPTIDX,NIFTY,28-Sep-2017,10150,CE,N,46.85,70.25,45.7,54.15,53.7,48.35,54.15,2514600,25665969315,908250,293100,75,14-Sep-2017,10086.6,2017-09-13T18:30:00.000Z
4,642c2c00e2684b2e01afc2df,OPTIDX,NIFTY,28-Sep-2017,10200,CE,N,32.2,48.4,29.65,35.55,35.2,31.9,35.55,15948300,163260134741.25,4356000,232350,75,14-Sep-2017,10086.6,2017-09-13T18:30:00.000Z
5,642c2c00e2684b2e01afc2e1,OPTIDX,NIFTY,28-Sep-2017,10250,CE,N,18.7,30.45,17.8,21.2,20.75,19.35,21.2,962700,9889050915,419850,16650,75,14-Sep-2017,10086.6,2017-09-13T18:30:00.000Z
6,642c2c00e2684b2e01afc2e7,OPTIDX,NIFTY,28-Sep-2017,10300,CE,N,12.4,19.45,10.45,13.1,12.45,12,13.1,8499300,87659336070,2921550,90525,75,14-Sep-2017,10086.6,2017-09-13T18:30:00.000Z
7,642c2c00e2684b2e01afc2e5,OPTIDX,NIFTY,28-Sep-2017,10350,CE,N,7.45,11.2,6.3,7.55,7.5,7.15,7.55,347100,3595384511.25,185325,48600,75,14-Sep-2017,10086.6,2017-09-13T18:30:00.000Z
8,642c2c00e2684b2e01afc2e6,OPTIDX,NIFTY,28-Sep-2017,10400,CE,N,5.2,6.7,3.9,4.65,4.15,4.5,4.65,2676000,27843616807.5,1626000,104100,75,14-Sep-2017,10086.6,2017-09-13T18:30:00.000Z
9,642c2c00e2684b2e01afc2e9,OPTIDX,NIFTY,28-Sep-2017,10450,CE,N,3.65,4.5,2,3.4,3.25,3.3,3.4,47100,492360495,37800,22200,75,14-Sep-2017,10086.6,2017-09-13T18:30:00.000Z
10,642c2c00e2684b2e01afc2ea,OPTIDX,NIFTY,28-Sep-2017,10500,CE,N,2.6,3.25,2.2,2.5,2.4,2.5,2.5,2038125,21405674186.25,2452050,46875,75,14-Sep-2017,10086.6,2017-09-13T18:30:00.000Z
11,642c2c00e2684b2e01afc2ec,OPTIDX,NIFTY,28-Sep-2017,10550,CE,N,2,2,1.25,1.75,1.75,2.5,1.75,1650,17410477.5,1275,750,75,14-Sep-2017,10086.6,2017-09-13T18:30:00.000Z
12,642c2c00e2684b2e01afc2f5,OPTIDX,NIFTY,28-Sep-2017,10600,CE,N,1.15,1.35,.9,1,.9,1.05,1,468825,4970068462.5,459750,-40350,75,14-Sep-2017,10086.6,2017-09-13T18:30:00.000Z
13,642c2c00e2684b2e01afc2f6,OPTIDX,NIFTY,28-Sep-2017,10650,CE,N,0,0,0,1.25,1.25,1.25,.7,0,0,150,0,75,14-Sep-2017,10086.6,2017-09-13T18:30:00.000Z
14,642c2c00e2684b2e01afc2f2,OPTIDX,NIFTY,28-Sep-2017,10700,CE,N,.65,.7,.6,.7,.7,.7,.7,98175,1050537367.5,370125,-14325,75,14-Sep-2017,10086.6,2017-09-13T18:30:00.000Z
15,642c2c00e2684b2e01afc2f0,OPTIDX,NIFTY,28-Sep-2017,10750,CE,N,1.4,1.4,1,1,1,1.4,1,825,8869665,900,225,75,14-Sep-2017,10086.6,2017-09-13T18:30:00.000Z
16,642c2c00e2684b2e01afc2f7,OPTIDX,NIFTY,28-Sep-2017,10800,CE,N,.5,.7,.5,.55,.55,.7,.55,5775,62373277.5,178575,-525,75,14-Sep-2017,10086.6,2017-09-13T18:30:00.000Z
17,642c2c00e2684b2e01afc2fc,OPTIDX,NIFTY,28-Sep-2017,10850,CE,N,0,0,0,.4,0,.4,.05,0,0,0,0,75,14-Sep-2017,10086.6,2017-09-13T18:30:00.000Z
18,642c2c00e2684b2e01afc2fb,OPTIDX,NIFTY,28-Sep-2017,10900,CE,N,.5,.55,.4,.55,.55,.5,.55,21675,236268322.5,50325,-975,75,14-Sep-2017,10086.6,2017-09-13T18:30:00.000Z
19,642c2c00e2684b2e01afc2f9,OPTIDX,NIFTY,28-Sep-2017,10950,CE,N,0,0,0,.2,0,.2,.05,0,0,0,0,75,14-Sep-2017,10086.6,2017-09-13T18:30:00.000Z
20,642c2c00e2684b2e01afc304,OPTIDX,NIFTY,28-Sep-2017,11000,CE,N,.6,.6,.4,.5,.5,.5,.5,278475,3063360813.75,1406100,-11325,75,14-Sep-2017,10086.6,2017-09-13T18:30:00.000Z
21,642c2c00e2684b2e01afc2ff,OPTIDX,NIFTY,28-Sep-2017,11050,CE,N,0,0,0,.45,0,.45,0,0,0,0,0,75,14-Sep-2017,10086.6,2017-09-13T18:30:00.000Z
22,642c2c00e2684b2e01afc300,OPTIDX,NIFTY,28-Sep-2017,11100,CE,N,.6,.6,.3,.45,.45,.6,.45,165000,1831574265,9525,75,75,14-Sep-2017,10086.6,2017-09-13T18:30:00.000Z
23,642c2c00e2684b2e01afc305,OPTIDX,NIFTY,28-Sep-2017,11150,CE,N,0,0,0,.15,0,.15,0,0,0,0,0,75,14-Sep-2017,10086.6,2017-09-13T18:30:00.000Z
24,642c2c00e2684b2e01afc30a,OPTIDX,NIFTY,28-Sep-2017,11200,CE,N,.05,.85,.05,.85,.85,.75,.85,1800,20161245,4650,1500,75,14-Sep-2017,10086.6,2017-09-13T18:30:00.000Z
25,642c2c00e2684b2e01afc30b,OPTIDX,NIFTY,28-Sep-2017,11250,CE,N,0,0,0,.35,0,.35,0,0,0,0,0,75,14-Sep-2017,10086.6,2017-09-13T18:30:00.000Z
26,642c2c00e2684b2e01afc308,OPTIDX,NIFTY,28-Sep-2017,11300,CE,N,0,0,0,.6,.6,.6,0,0,0,450,0,75,14-Sep-2017,10086.6,2017-09-13T18:30:00.000Z
27,642c2c00e2684b2e01afc315,OPTIDX,NIFTY,28-Sep-2017,11350,CE,N,0,0,0,.95,.95,.95,0,0,0,0,0,75,14-Sep-2017,10086.6,2017-09-13T18:30:00.000Z
28,642c2c00e2684b2e01afc313,OPTIDX,NIFTY,28-Sep-2017,11400,CE,N,.4,.4,.4,.4,.4,.4,.4,975,11115390,5325,-975,75,14-Sep-2017,10086.6,2017-09-13T18:30:00.000Z
29,642c2c00e2684b2e01afc30d,OPTIDX,NIFTY,28-Sep-2017,11450,CE,N,0,0,0,.15,0,.15,0,0,0,0,0,75,14-Sep-2017,10086.6,2017-09-13T18:30:00.000Z
30,642c2c00e2684b2e01afc311,OPTIDX,NIFTY,28-Sep-2017,11500,CE,N,.5,.5,.35,.4,.4,.45,.4,21525,247546050,246750,-75,75,14-Sep-2017,10086.6,2017-09-13T18:30:00.000Z
