,_id,FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_UNDERLYING_VALUE,TIMESTAMP
0,642c2b21e2684b2e013da90b,OPTIDX,NIFTY,25-Jan-2018,10000,CE,N,624.3,672,615,651.35,656.85,632.95,651.35,22050,234780618.75,655725,-6525,75,11-Jan-2018,10651.2,2018-01-10T18:30:00.000Z
1,642c2b21e2684b2e013da908,OPTIDX,NIFTY,25-Jan-2018,10050,CE,N,0,0,0,525.45,0,525.45,625.5,0,0,0,0,75,11-Jan-2018,10651.2,2018-01-10T18:30:00.000Z
2,642c2b21e2684b2e013da907,OPTIDX,NIFTY,25-Jan-2018,10100,CE,N,525,570,521,549.65,557,538.05,549.65,18150,193367497.5,246525,-6000,75,11-Jan-2018,10651.2,2018-01-10T18:30:00.000Z
3,642c2b21e2684b2e013da901,OPTIDX,NIFTY,25-Jan-2018,10150,CE,N,0,0,0,495.25,495.25,495.25,526,0,0,450,0,75,11-Jan-2018,10651.2,2018-01-10T18:30:00.000Z
4,642c2b21e2684b2e013da8fd,OPTIDX,NIFTY,25-Jan-2018,10200,CE,N,430,482,427.3,462.75,467,445.4,462.75,58200,620270703.75,606825,-21900,75,11-Jan-2018,10651.2,2018-01-10T18:30:00.000Z
5,642c2b21e2684b2e013da900,OPTIDX,NIFTY,25-Jan-2018,10250,CE,N,0,0,0,399.05,414.4,399.05,427.2,0,0,375,0,75,11-Jan-2018,10651.2,2018-01-10T18:30:00.000Z
6,642c2b21e2684b2e013da903,OPTIDX,NIFTY,25-Jan-2018,10300,CE,N,344.3,384.9,333.95,362.6,369.3,350.3,362.6,111825,1191958098.75,871650,-15900,75,11-Jan-2018,10651.2,2018-01-10T18:30:00.000Z
7,642c2b21e2684b2e013da904,OPTIDX,NIFTY,25-Jan-2018,10350,CE,N,0,0,0,290.6,290.6,290.6,330.8,0,0,8025,0,75,11-Jan-2018,10651.2,2018-01-10T18:30:00.000Z
8,642c2b21e2684b2e013da8fa,OPTIDX,NIFTY,25-Jan-2018,10400,CE,N,255.35,294.85,247.7,275,282,263.3,275,298050,3180987573.75,1234125,-39225,75,11-Jan-2018,10651.2,2018-01-10T18:30:00.000Z
9,642c2b21e2684b2e013da8f7,OPTIDX,NIFTY,25-Jan-2018,10450,CE,N,215,244.85,204.9,232.7,235,220.6,232.7,13350,142577996.25,73725,-4425,75,11-Jan-2018,10651.2,2018-01-10T18:30:00.000Z
10,642c2b21e2684b2e013da8f4,OPTIDX,NIFTY,25-Jan-2018,10500,CE,N,175,209,168.25,192.85,197,182.65,192.85,2510475,26836390785,2437425,-57150,75,11-Jan-2018,10651.2,2018-01-10T18:30:00.000Z
11,642c2b21e2684b2e013da8f5,OPTIDX,NIFTY,25-Jan-2018,10550,CE,N,141,166.5,131.7,151.95,155.5,143.4,151.95,183075,1958627103.75,415875,-15375,75,11-Jan-2018,10651.2,2018-01-10T18:30:00.000Z
