,_id,FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_UNDERLYING_VALUE,TIMESTAMP
0,642c2a7ae2684b2e01cb27eb,OPTIDX,NIFTY,29-Nov-2018,10000,PE,N,19.75,19.75,12.65,14.65,15.05,18.15,14.65,3736575,37421580165,4899300,53025,75,15-Nov-2018,10616.7,2018-11-14T18:30:00.000Z
1,642c2a7ae2684b2e01cb27ed,OPTIDX,NIFTY,29-Nov-2018,10050,PE,N,21.3,22.45,15,16.85,17.35,20.95,16.85,57675,580628512.5,69600,4125,75,15-Nov-2018,10616.7,2018-11-14T18:30:00.000Z
2,642c2a7ae2684b2e01cb27ec,OPTIDX,NIFTY,29-Nov-2018,10100,PE,N,21.1,25.8,16.35,19.25,20,23.9,19.25,2143650,21693537405,1805625,26625,75,15-Nov-2018,10616.7,2018-11-14T18:30:00.000Z
3,642c2a7ae2684b2e01cb27ef,OPTIDX,NIFTY,29-Nov-2018,10150,PE,N,28.3,30.3,19.2,22.6,23.8,28.4,22.6,238875,2429944638.75,82125,5175,75,15-Nov-2018,10616.7,2018-11-14T18:30:00.000Z
4,642c2a7ae2684b2e01cb27f3,OPTIDX,NIFTY,29-Nov-2018,10200,PE,N,28.2,35.7,22.2,26.55,28,33.15,26.55,3559800,36406298797.5,3359325,165300,75,15-Nov-2018,10616.7,2018-11-14T18:30:00.000Z
5,642c2a7ae2684b2e01cb27f5,OPTIDX,NIFTY,29-Nov-2018,10250,PE,N,40.65,44.95,26.45,30.65,32.85,39.35,30.65,251025,2580609791.25,127725,33450,75,15-Nov-2018,10616.7,2018-11-14T18:30:00.000Z
6,642c2a7ae2684b2e01cb27fa,OPTIDX,NIFTY,29-Nov-2018,10300,PE,N,44.25,50.35,30.6,37.35,40.15,46.8,37.35,4182825,43243254296.25,1983150,45750,75,15-Nov-2018,10616.7,2018-11-14T18:30:00.000Z
7,642c2a7ae2684b2e01cb27fe,OPTIDX,NIFTY,29-Nov-2018,10350,PE,N,53,59.5,37.2,44.55,47.5,56.1,44.55,228600,2376476778.75,96000,3975,75,15-Nov-2018,10616.7,2018-11-14T18:30:00.000Z
8,642c2a7ae2684b2e01cb27fc,OPTIDX,NIFTY,29-Nov-2018,10400,PE,N,63.45,70.7,44.25,53.05,57,65.95,53.05,6185175,64665573457.5,2537250,320700,75,15-Nov-2018,10616.7,2018-11-14T18:30:00.000Z
9,642c2a7ae2684b2e01cb27fb,OPTIDX,NIFTY,29-Nov-2018,10450,PE,N,74.05,83.6,52.75,63.2,68,77.85,63.2,363450,3821328026.25,171825,50625,75,15-Nov-2018,10616.7,2018-11-14T18:30:00.000Z
