,_id,FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_UNDERLYING_VALUE,TIMESTAMP
0,642c2aa7e2684b2e01e90c84,OPTIDX,NIFTY,25-Oct-2018,10000,PE,N,100,121.5,53.25,84.15,81,36.4,84.15,19476750,196476580758.75,3782550,-13425,75,11-Oct-2018,,2018-10-10T18:30:00.000Z
1,642c2aa7e2684b2e01e90c88,OPTIDX,NIFTY,25-Oct-2018,10050,PE,N,109,136.2,63.6,95.45,94,41.95,95.45,285150,2895362077.5,40725,5700,75,11-Oct-2018,,2018-10-10T18:30:00.000Z
2,642c2aa7e2684b2e01e90c87,OPTIDX,NIFTY,25-Oct-2018,10100,PE,N,129.95,159.7,73,110.05,106.7,48.2,110.05,11126625,113634213341.25,1279725,-50250,75,11-Oct-2018,,2018-10-10T18:30:00.000Z
3,642c2aa7e2684b2e01e90c91,OPTIDX,NIFTY,25-Oct-2018,10150,PE,N,134.45,178.95,84,126.2,121.3,56,126.2,743550,7645726586.25,56100,14325,75,11-Oct-2018,,2018-10-10T18:30:00.000Z
4,642c2aa7e2684b2e01e90c8d,OPTIDX,NIFTY,25-Oct-2018,10200,PE,N,131.4,193.85,96.7,143.35,139,65.1,143.35,14617425,151205546737.5,1981950,93900,75,11-Oct-2018,,2018-10-10T18:30:00.000Z
5,642c2aa7e2684b2e01e90c8e,OPTIDX,NIFTY,25-Oct-2018,10250,PE,N,183.35,216.75,111.4,163,155.3,75.7,163,636900,6632326305,117075,22500,75,11-Oct-2018,,2018-10-10T18:30:00.000Z
6,642c2aa7e2684b2e01e90c8f,OPTIDX,NIFTY,25-Oct-2018,10300,PE,N,216.5,242.35,127.1,184.05,179,87.55,184.05,10549275,110598603026.25,1566525,-468600,75,11-Oct-2018,,2018-10-10T18:30:00.000Z
7,642c2aa7e2684b2e01e90c92,OPTIDX,NIFTY,25-Oct-2018,10350,PE,N,230.2,288.8,145.45,207.25,200.8,101.7,207.25,313350,3310103055,33000,-59925,75,11-Oct-2018,,2018-10-10T18:30:00.000Z
8,642c2aa7e2684b2e01e90c95,OPTIDX,NIFTY,25-Oct-2018,10400,PE,N,250,303.45,165.35,233,228.3,118.2,233,4975200,52946124746.25,1584300,-610725,75,11-Oct-2018,,2018-10-10T18:30:00.000Z
9,642c2aa7e2684b2e01e90c96,OPTIDX,NIFTY,25-Oct-2018,10450,PE,N,300,374.9,193.8,262.65,257,136.45,262.65,156975,1686333146.25,31875,-47625,75,11-Oct-2018,,2018-10-10T18:30:00.000Z
10,642c2aa7e2684b2e01e90c97,OPTIDX,NIFTY,25-Oct-2018,10500,PE,N,367.85,377,215.75,297.1,291.55,157,297.1,3338250,36081676616.25,1830600,-746100,75,11-Oct-2018,,2018-10-10T18:30:00.000Z
11,642c2aa7e2684b2e01e90c99,OPTIDX,NIFTY,25-Oct-2018,10550,PE,N,406.9,406.9,261.75,347.45,328,182.05,347.45,12375,135022987.5,21675,-1500,75,11-Oct-2018,,2018-10-10T18:30:00.000Z
12,642c2aa7e2684b2e01e90ca2,OPTIDX,NIFTY,25-Oct-2018,10600,PE,N,449.15,461.05,280,373.45,365,209.65,373.45,944550,10376720377.5,1076775,-233025,75,11-Oct-2018,,2018-10-10T18:30:00.000Z
13,642c2aa7e2684b2e01e90ca3,OPTIDX,NIFTY,25-Oct-2018,10650,PE,N,455,482.95,333.6,423.7,404.7,240.9,423.7,11850,131235093.75,22725,-3675,75,11-Oct-2018,,2018-10-10T18:30:00.000Z
14,642c2aa7e2684b2e01e90ca0,OPTIDX,NIFTY,25-Oct-2018,10700,PE,N,515.85,574.5,355,459.4,450.2,277.3,459.4,973575,10880266068.75,1777050,-451950,75,11-Oct-2018,,2018-10-10T18:30:00.000Z
