,_id,FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_UNDERLYING_VALUE,TIMESTAMP
0,642c2aa7e2684b2e01e90c82,OPTIDX,NIFTY,25-Oct-2018,10000,CE,N,292.6,418,272.5,330.25,335,490.75,330.25,847575,8744619330,616875,-23550,75,11-Oct-2018,,2018-10-10T18:30:00.000Z
1,642c2aa7e2684b2e01e90c85,OPTIDX,NIFTY,25-Oct-2018,10050,CE,N,258.55,370,257.75,301.65,302.1,465,301.65,7125,73783518.75,2475,1500,75,11-Oct-2018,,2018-10-10T18:30:00.000Z
2,642c2aa7e2684b2e01e90c86,OPTIDX,NIFTY,25-Oct-2018,10100,CE,N,213.1,339.55,205,256.85,265.2,403.95,256.85,1303800,13495088501.25,106575,34275,75,11-Oct-2018,,2018-10-10T18:30:00.000Z
3,642c2aa7e2684b2e01e90c89,OPTIDX,NIFTY,25-Oct-2018,10150,CE,N,201.5,299.95,179.55,225.7,236,380.4,225.7,186150,1929578197.5,12600,9375,75,11-Oct-2018,,2018-10-10T18:30:00.000Z
4,642c2aa7e2684b2e01e90c8c,OPTIDX,NIFTY,25-Oct-2018,10200,CE,N,166.25,264.95,146.35,191.35,196.5,323.8,191.35,7532625,78230668766.25,628875,385350,75,11-Oct-2018,,2018-10-10T18:30:00.000Z
5,642c2aa7e2684b2e01e90c8a,OPTIDX,NIFTY,25-Oct-2018,10250,CE,N,145.5,229.05,129.35,160.55,168,291.1,160.55,618750,6441187605,94950,74925,75,11-Oct-2018,,2018-10-10T18:30:00.000Z
6,642c2aa7e2684b2e01e90c8b,OPTIDX,NIFTY,25-Oct-2018,10300,CE,N,93.65,197.1,93.65,133.15,136.85,248.1,133.15,13495200,140788232085,1285875,635475,75,11-Oct-2018,,2018-10-10T18:30:00.000Z
7,642c2aa7e2684b2e01e90c90,OPTIDX,NIFTY,25-Oct-2018,10350,CE,N,70.2,165,70.2,109.15,112.7,213.6,109.15,935025,9783065512.5,77175,26775,75,11-Oct-2018,,2018-10-10T18:30:00.000Z
8,642c2aa7e2684b2e01e90c93,OPTIDX,NIFTY,25-Oct-2018,10400,CE,N,50.1,136.9,50.1,86.75,92,179.45,86.75,14250900,149479886553.75,2043300,739200,75,11-Oct-2018,,2018-10-10T18:30:00.000Z
9,642c2aa7e2684b2e01e90c94,OPTIDX,NIFTY,25-Oct-2018,10450,CE,N,54.25,111,21.1,69.35,72.35,149.3,69.35,706500,7431289365,111150,12300,75,11-Oct-2018,,2018-10-10T18:30:00.000Z
10,642c2aa7e2684b2e01e90c9a,OPTIDX,NIFTY,25-Oct-2018,10500,CE,N,46.75,88.75,37.2,52.4,56,122.35,52.4,22718625,239743977603.75,3524250,954675,75,11-Oct-2018,,2018-10-10T18:30:00.000Z
11,642c2aa7e2684b2e01e90c98,OPTIDX,NIFTY,25-Oct-2018,10550,CE,N,20,69.95,20,40.3,43.7,98.45,40.3,589950,6247259268.75,104625,15000,75,11-Oct-2018,,2018-10-10T18:30:00.000Z
12,642c2aa7e2684b2e01e90c9b,OPTIDX,NIFTY,25-Oct-2018,10600,CE,N,29,53.6,22.1,28.7,31.6,77.8,28.7,14747625,156780844106.25,2709525,666225,75,11-Oct-2018,,2018-10-10T18:30:00.000Z
13,642c2aa7e2684b2e01e90c9f,OPTIDX,NIFTY,25-Oct-2018,10650,CE,N,25,40.15,5.25,22.15,23.9,60.2,22.15,389850,4160444508.75,137850,-17775,75,11-Oct-2018,,2018-10-10T18:30:00.000Z
14,642c2aa7e2684b2e01e90c9c,OPTIDX,NIFTY,25-Oct-2018,10700,CE,N,14.3,30.45,12.25,16.4,17.55,46.4,16.4,13300725,142552361362.5,2267175,23025,75,11-Oct-2018,,2018-10-10T18:30:00.000Z
15,642c2aa7e2684b2e01e90c9e,OPTIDX,NIFTY,25-Oct-2018,10750,CE,N,15,23.9,9.75,12.95,13.9,34.7,12.95,317175,3413602260,166125,-9675,75,11-Oct-2018,,2018-10-10T18:30:00.000Z
16,642c2aa7e2684b2e01e90ca1,OPTIDX,NIFTY,25-Oct-2018,10800,CE,N,12.65,16,6.75,9.45,9.95,26.6,9.45,9877350,106773296808.75,2865600,-94575,75,11-Oct-2018,,2018-10-10T18:30:00.000Z
17,642c2aa7e2684b2e01e90ca4,OPTIDX,NIFTY,25-Oct-2018,10850,CE,N,11.8,11.8,5,7.7,7.8,19.45,7.7,237825,2582342557.5,126225,2850,75,11-Oct-2018,,2018-10-10T18:30:00.000Z
18,642c2aa7e2684b2e01e90ca6,OPTIDX,NIFTY,25-Oct-2018,10900,CE,N,7.1,8.5,4.6,5.8,5.9,14.3,5.8,5560500,60643128813.75,1913550,8625,75,11-Oct-2018,,2018-10-10T18:30:00.000Z
