,_id,FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_UNDERLYING_VALUE,TIMESTAMP
0,642c394ae2684b2e0166ae58,OPTIDX,NIFTY,31-Dec-2020,10000,PE,N,1.85,3.7,1.75,1.85,1.75,2.3,1.85,270375,2704268227.5,1452900,-55125,75,17-Dec-2020,13740.7,2020-12-16T18:30:00.000Z
1,642c3948e2684b2e01662ca3,OPTIDX,NIFTY,31-Dec-2020,10050,PE,N,0,0,0,344,0,344,.05,0,0,0,0,75,17-Dec-2020,13740.7,2020-12-16T18:30:00.000Z
2,642c3949e2684b2e01666040,OPTIDX,NIFTY,31-Dec-2020,10100,PE,N,1.95,1.95,1.95,1.95,1.95,1.85,1.95,450,4545877.5,844575,-450,75,17-Dec-2020,13740.7,2020-12-16T18:30:00.000Z
3,642c3949e2684b2e016680b7,OPTIDX,NIFTY,31-Dec-2020,10150,PE,N,0,0,0,378.7,0,378.7,.05,0,0,0,0,75,17-Dec-2020,13740.7,2020-12-16T18:30:00.000Z
4,642c3949e2684b2e01668933,OPTIDX,NIFTY,31-Dec-2020,10200,PE,N,1.95,2.85,1.1,1.5,1.5,2,.05,900,9181833.75,218850,-750,75,17-Dec-2020,13740.7,2020-12-16T18:30:00.000Z
5,642c3948e2684b2e01664628,OPTIDX,NIFTY,31-Dec-2020,10250,PE,N,0,0,0,415.55,0,415.55,.05,0,0,0,0,75,17-Dec-2020,13740.7,2020-12-16T18:30:00.000Z
6,642c3949e2684b2e01669060,OPTIDX,NIFTY,31-Dec-2020,10300,PE,N,2,2,2,2,2,2.2,.05,75,772650,319125,0,75,17-Dec-2020,13740.7,2020-12-16T18:30:00.000Z
7,642c3949e2684b2e0166494d,OPTIDX,NIFTY,31-Dec-2020,10350,PE,N,0,0,0,454.65,0,454.65,.05,0,0,0,0,75,17-Dec-2020,13740.7,2020-12-16T18:30:00.000Z
8,642c394ae2684b2e0166b1fc,OPTIDX,NIFTY,31-Dec-2020,10400,PE,N,2.45,2.45,1.65,1.65,1.65,1.25,1.65,1650,17163907.5,28125,-75,75,17-Dec-2020,13740.7,2020-12-16T18:30:00.000Z
9,642c3949e2684b2e016668b4,OPTIDX,NIFTY,31-Dec-2020,10450,PE,N,0,0,0,495.9,0,495.9,.05,0,0,0,0,75,17-Dec-2020,13740.7,2020-12-16T18:30:00.000Z
