,_id,FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_UNDERLYING_VALUE,TIMESTAMP
0,642c3985e2684b2e01791aa0,OPTIDX,NIFTY,26-Mar-2020,10000,PE,N,343.25,732.35,321.55,641.45,630.8,147.15,641.45,7187475,74976384870,2328225,-784950,75,12-Mar-2020,9590.15,2020-03-11T18:30:00.000Z
1,642c3984e2684b2e0178c5d4,OPTIDX,NIFTY,26-Mar-2020,10050,PE,N,382.15,756.4,340.3,671.2,657,159.7,671.2,20325,213645847.5,5550,-600,75,12-Mar-2020,9590.15,2020-03-11T18:30:00.000Z
2,642c3984e2684b2e0178d34d,OPTIDX,NIFTY,26-Mar-2020,10100,PE,N,355.55,803.6,355.55,716.35,684.55,169.95,716.35,1319850,13932301818.75,346875,-23550,75,12-Mar-2020,9590.15,2020-03-11T18:30:00.000Z
3,642c3984e2684b2e0178d0a6,OPTIDX,NIFTY,26-Mar-2020,10150,PE,N,443.8,790,374.35,747.25,723.05,185.2,747.25,32025,341567441.25,13500,-7875,75,12-Mar-2020,9590.15,2020-03-11T18:30:00.000Z
4,642c3985e2684b2e0178ec2f,OPTIDX,NIFTY,26-Mar-2020,10200,PE,N,352.1,881.8,352.1,779.7,760,198.2,779.7,1409475,15139769280,791775,-125025,75,12-Mar-2020,9590.15,2020-03-11T18:30:00.000Z
5,642c3985e2684b2e0178d9e7,OPTIDX,NIFTY,26-Mar-2020,10250,PE,N,450,849.3,449.95,802.65,790,210.65,802.65,32925,355810083.75,15825,-13575,75,12-Mar-2020,9590.15,2020-03-11T18:30:00.000Z
6,642c3985e2684b2e0178fddb,OPTIDX,NIFTY,26-Mar-2020,10300,PE,N,498,972.05,469.3,862.3,830.1,226.95,862.3,836850,9107009437.5,309075,-314400,75,12-Mar-2020,9590.15,2020-03-11T18:30:00.000Z
7,642c3984e2684b2e0178c5a8,OPTIDX,NIFTY,26-Mar-2020,10350,PE,N,492,978.65,492,868.8,875.85,242.85,868.8,33750,369094788.75,19200,-19050,75,12-Mar-2020,9590.15,2020-03-11T18:30:00.000Z
8,642c3984e2684b2e0178cf43,OPTIDX,NIFTY,26-Mar-2020,10400,PE,N,369,1046.6,369,927,908.7,261.1,927,1011150,11198063565,414150,-537600,75,12-Mar-2020,9590.15,2020-03-11T18:30:00.000Z
9,642c3984e2684b2e0178cafb,OPTIDX,NIFTY,26-Mar-2020,10450,PE,N,500,1087.7,391.3,969.7,939.75,280.85,969.7,67575,751427418.75,41400,-28050,75,12-Mar-2020,9590.15,2020-03-11T18:30:00.000Z
