,_id,FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_UNDERLYING_VALUE,TIMESTAMP
0,642c1397e2684b2e015b731c,OPTIDX,NIFTY,28-Jan-2021,10150,PE,N,1.2,1.3,1,1.1,1.1,1.55,1.1,2025,20556176.25,23925,-375,75,14-Jan-2021,14595.6,2021-01-13T18:30:00.000Z
1,642c1397e2684b2e015b7d4d,OPTIDX,NIFTY,28-Jan-2021,10200,PE,N,1.3,1.6,.9,1,.9,1.7,1,10200,104053462.5,121800,-150,75,14-Jan-2021,14595.6,2021-01-13T18:30:00.000Z
2,642c1398e2684b2e015b923c,OPTIDX,NIFTY,28-Jan-2021,10250,PE,N,0,0,0,173.8,0,173.8,.05,0,0,0,0,75,14-Jan-2021,14595.6,2021-01-13T18:30:00.000Z
3,642c1397e2684b2e015b3c85,OPTIDX,NIFTY,28-Jan-2021,10300,PE,N,1.8,1.8,1.8,1.8,1.8,1.45,.05,75,772635,7050,0,75,14-Jan-2021,14595.6,2021-01-13T18:30:00.000Z
4,642c1397e2684b2e015b7006,OPTIDX,NIFTY,28-Jan-2021,10350,PE,N,0,0,0,195.3,0,195.3,.05,0,0,0,0,75,14-Jan-2021,14595.6,2021-01-13T18:30:00.000Z
5,642c1396e2684b2e015b1bff,OPTIDX,NIFTY,28-Jan-2021,10400,PE,N,2.85,2.85,.8,.8,.8,1.6,.05,225,2340457.5,3000,75,75,14-Jan-2021,14595.6,2021-01-13T18:30:00.000Z
6,642c1397e2684b2e015b37eb,OPTIDX,NIFTY,28-Jan-2021,10450,PE,N,0,0,0,218.65,0,218.65,.05,0,0,0,0,75,14-Jan-2021,14595.6,2021-01-13T18:30:00.000Z
7,642c1398e2684b2e015bb10d,OPTIDX,NIFTY,28-Jan-2021,10500,PE,N,2.2,2.2,1.1,1.3,1.25,1.8,1.3,26250,275661577.5,230625,1800,75,14-Jan-2021,14595.6,2021-01-13T18:30:00.000Z
8,642c1398e2684b2e015ba515,OPTIDX,NIFTY,28-Jan-2021,10550,PE,N,0,0,0,244.3,0,244.3,.05,0,0,0,0,75,14-Jan-2021,14595.6,2021-01-13T18:30:00.000Z
9,642c1397e2684b2e015b411d,OPTIDX,NIFTY,28-Jan-2021,10600,PE,N,3.05,3.05,.65,1.5,1.5,3.2,1.5,1275,13517291.25,525,0,75,14-Jan-2021,14595.6,2021-01-13T18:30:00.000Z
10,642c1398e2684b2e015b9562,OPTIDX,NIFTY,28-Jan-2021,10650,PE,N,0,0,0,271.45,0,271.45,.05,0,0,0,0,75,14-Jan-2021,14595.6,2021-01-13T18:30:00.000Z
11,642c1396e2684b2e015b113a,OPTIDX,NIFTY,28-Jan-2021,10700,PE,N,2.5,2.5,.55,.55,.55,2.5,.05,1500,16052287.5,1425,750,75,14-Jan-2021,14595.6,2021-01-13T18:30:00.000Z
