,_id,FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_UNDERLYING_VALUE,TIMESTAMP
0,642c1252e2684b2e01f2a076,OPTIDX,NIFTY,27-May-2021,12800,CE,N,2018.55,2018.55,1898.4,1907.7,1909.7,2048.7,1907.7,11850,174642285,261675,-10050,75,12-May-2021,14696.5,2021-05-11T18:30:00.000Z
1,642c1253e2684b2e01f302ed,OPTIDX,NIFTY,27-May-2021,12850,CE,N,0,0,0,2007.5,2007.5,2007.5,1867.55,0,0,375,0,75,12-May-2021,14696.5,2021-05-11T18:30:00.000Z
2,642c1253e2684b2e01f2ce70,OPTIDX,NIFTY,27-May-2021,12900,CE,N,1860.35,1860.35,1860.35,1860.35,1860.35,1982.4,1818.1,75,1107026.25,1800,-75,75,12-May-2021,14696.5,2021-05-11T18:30:00.000Z
3,642c1253e2684b2e01f2e1d0,OPTIDX,NIFTY,27-May-2021,12950,CE,N,0,0,0,1614.65,0,1614.65,1768.7,0,0,0,0,75,12-May-2021,14696.5,2021-05-11T18:30:00.000Z
4,642c1252e2684b2e01f29681,OPTIDX,NIFTY,27-May-2021,13000,CE,N,1804.4,1817.65,1680,1714.6,1712,1881.85,1714.6,46350,684060765,797550,2325,75,12-May-2021,14696.5,2021-05-11T18:30:00.000Z
5,642c1253e2684b2e01f2d3c2,OPTIDX,NIFTY,27-May-2021,13050,CE,N,0,0,0,1877.25,1877.25,1877.25,1670.3,0,0,225,0,75,12-May-2021,14696.5,2021-05-11T18:30:00.000Z
6,642c1252e2684b2e01f27533,OPTIDX,NIFTY,27-May-2021,13100,CE,N,0,0,0,1551.1,1551.1,1551.1,1621.3,0,0,4500,0,75,12-May-2021,14696.5,2021-05-11T18:30:00.000Z
7,642c1253e2684b2e01f2e7b8,OPTIDX,NIFTY,27-May-2021,13150,CE,N,0,0,0,1736.6,0,1736.6,1572.5,0,0,0,0,75,12-May-2021,14696.5,2021-05-11T18:30:00.000Z
8,642c1251e2684b2e01f24802,OPTIDX,NIFTY,27-May-2021,13200,CE,N,0,0,0,1685.4,1685.4,1685.4,1523.85,0,0,7125,0,75,12-May-2021,14696.5,2021-05-11T18:30:00.000Z
9,642c1253e2684b2e01f2b9d8,OPTIDX,NIFTY,27-May-2021,13250,CE,N,0,0,0,1662.55,0,1662.55,1475.4,0,0,0,0,75,12-May-2021,14696.5,2021-05-11T18:30:00.000Z
