,_id,FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,TIMESTAMP,FH_UNDERLYING_VALUE
0,648b11c1f0912e8f617ff1ca,OPTIDX,NIFTY,29-Jun-2023,10000.00,PE,N,0.00,0.00,0.00,0.70,0.70,0.70,0.00,0,0.00,88000,0.00,50,15-Jun-2023,2023-06-14T18:30:00.000Z,18688.1
1,648b11c1f0912e8f61800b47,OPTIDX,NIFTY,29-Jun-2023,10500.00,PE,N,0.00,0.00,0.00,0.65,0.65,0.65,0.00,0,0.00,151325,0.00,50,15-Jun-2023,2023-06-14T18:30:00.000Z,18688.1
2,648b11c1f0912e8f6180107a,OPTIDX,NIFTY,29-Jun-2023,11000.00,PE,N,1.10,1.20,0.35,0.65,0.45,0.80,0.65,1000,11000977.50,335250,-350.00,50,15-Jun-2023,2023-06-14T18:30:00.000Z,18688.1
3,648b11c1f0912e8f61800a44,OPTIDX,NIFTY,29-Jun-2023,11500.00,PE,N,0.00,0.00,0.00,0.55,0.55,0.55,0.00,0,0.00,650,0.00,50,15-Jun-2023,2023-06-14T18:30:00.000Z,18688.1
4,648b11c1f0912e8f61802ac1,OPTIDX,NIFTY,29-Jun-2023,11900.00,PE,N,0.95,0.95,0.70,0.70,0.70,0.95,0.00,1400,16661030.00,2500,-1200.00,50,15-Jun-2023,2023-06-14T18:30:00.000Z,18688.1
5,648b11c0f0912e8f617f7a39,OPTIDX,NIFTY,29-Jun-2023,12000.00,PE,N,0.00,0.00,0.00,1.05,1.05,1.05,0.00,0,0.00,12350,0.00,50,15-Jun-2023,2023-06-14T18:30:00.000Z,18688.1
6,648b11c0f0912e8f617f7c2c,OPTIDX,NIFTY,29-Jun-2023,12100.00,PE,N,0.00,0.00,0.00,1.40,1.40,1.40,0.00,0,0.00,6475,0.00,50,15-Jun-2023,2023-06-14T18:30:00.000Z,18688.1
7,648b11c1f0912e8f6180229a,OPTIDX,NIFTY,29-Jun-2023,12200.00,PE,N,0.00,0.00,0.00,0.80,0.80,0.80,0.00,0,0.00,1650,0.00,50,15-Jun-2023,2023-06-14T18:30:00.000Z,18688.1
8,648b11c1f0912e8f617fe456,OPTIDX,NIFTY,29-Jun-2023,13000.00,PE,N,0.95,1.05,0.20,0.60,0.60,1.00,0.60,49550,644189702.50,302350,-50.00,50,15-Jun-2023,2023-06-14T18:30:00.000Z,18688.1
9,648b11c1f0912e8f617ffb82,OPTIDX,NIFTY,29-Jun-2023,13500.00,PE,N,1.25,1.30,1.05,1.05,1.05,1.25,1.05,28250,381406867.50,11850,4000.00,50,15-Jun-2023,2023-06-14T18:30:00.000Z,18688.1
10,648b11c1f0912e8f6180143d,OPTIDX,NIFTY,29-Jun-2023,14000.00,PE,N,1.85,2.45,1.20,1.55,1.70,1.70,1.55,25400,355643297.50,177975,-3300.00,50,15-Jun-2023,2023-06-14T18:30:00.000Z,18688.1
11,648b11c1f0912e8f6180079a,OPTIDX,NIFTY,29-Jun-2023,15000.00,PE,N,2.40,3.15,1.80,2.30,2.15,2.40,2.30,81350,1220457315.00,751750,-14650.00,50,15-Jun-2023,2023-06-14T18:30:00.000Z,18688.1
12,648b11c1f0912e8f6180140c,OPTIDX,NIFTY,29-Jun-2023,15600.00,PE,N,2.80,2.95,1.90,2.55,2.50,2.30,2.55,1850,28864770.00,19200,-50.00,50,15-Jun-2023,2023-06-14T18:30:00.000Z,18688.1
13,648b11c0f0912e8f617f7830,OPTIDX,NIFTY,29-Jun-2023,15650.00,PE,N,0.00,0.00,0.00,3.00,3.00,3.00,0.00,0,0.00,650,0.00,50,15-Jun-2023,2023-06-14T18:30:00.000Z,18688.1
