,_id,FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,TIMESTAMP,FH_UNDERLYING_VALUE
0,645ceb912fe10bc5ea542cd5,OPTIDX,NIFTY,25-May-2023,15450.00,PE,N,3.50,3.80,2.55,2.75,2.75,3.20,2.75,23750,367002825.00,65850,-14700.00,50,11-May-2023,2023-05-10T18:30:00.000Z,18297.0
1,645ceb912fe10bc5ea53fcfe,OPTIDX,NIFTY,25-May-2023,15500.00,PE,N,3.45,3.50,2.55,2.85,3.40,3.30,2.85,100700,1561139622.50,594500,37950.00,50,11-May-2023,2023-05-10T18:30:00.000Z,18297.0
2,645ceb912fe10bc5ea540520,OPTIDX,NIFTY,25-May-2023,15550.00,PE,N,3.05,3.05,3.00,3.05,3.00,3.00,3.05,1000,15553017.50,15200,350.00,50,11-May-2023,2023-05-10T18:30:00.000Z,18297.0
3,645ceb912fe10bc5ea542970,OPTIDX,NIFTY,25-May-2023,15600.00,PE,N,4.00,4.00,2.80,2.95,2.95,3.50,2.95,3400,53051022.50,33750,-2450.00,50,11-May-2023,2023-05-10T18:30:00.000Z,18297.0
4,645ceb902fe10bc5ea539f89,OPTIDX,NIFTY,25-May-2023,15650.00,PE,N,3.05,3.05,2.70,2.95,2.95,3.05,0.00,4150,64959580.00,3000,-1200.00,50,11-May-2023,2023-05-10T18:30:00.000Z,18297.0
5,645ceb912fe10bc5ea53f2c8,OPTIDX,NIFTY,25-May-2023,15700.00,PE,N,3.05,3.05,3.05,3.05,3.05,3.85,0.00,550,8636677.50,72700,-550.00,50,11-May-2023,2023-05-10T18:30:00.000Z,18297.0
6,645ceb902fe10bc5ea53be6b,OPTIDX,NIFTY,25-May-2023,15750.00,PE,N,3.05,3.05,3.05,3.05,3.05,3.05,0.00,550,8664177.50,12450,-550.00,50,11-May-2023,2023-05-10T18:30:00.000Z,18297.0
7,645ceb912fe10bc5ea542f28,OPTIDX,NIFTY,25-May-2023,15800.00,PE,N,3.90,3.90,2.30,3.00,3.00,3.80,3.00,32400,512023017.50,97100,-13350.00,50,11-May-2023,2023-05-10T18:30:00.000Z,18297.0
8,645ceb912fe10bc5ea540cfd,OPTIDX,NIFTY,25-May-2023,15850.00,PE,N,0.00,0.00,0.00,6.80,6.80,6.80,0.00,0,0.00,16550,0.00,50,11-May-2023,2023-05-10T18:30:00.000Z,18297.0
9,645ceb912fe10bc5ea542fdd,OPTIDX,NIFTY,25-May-2023,15900.00,PE,N,3.05,3.05,3.05,3.05,3.05,5.00,3.05,1650,26240032.50,109700,-1650.00,50,11-May-2023,2023-05-10T18:30:00.000Z,18297.0
10,645ceb912fe10bc5ea53d95a,OPTIDX,NIFTY,25-May-2023,15950.00,PE,N,0.00,0.00,0.00,4.60,4.85,4.60,0.00,0,0.00,19950,0.00,50,11-May-2023,2023-05-10T18:30:00.000Z,18297.0
11,645ceb912fe10bc5ea53f3ed,OPTIDX,NIFTY,25-May-2023,16000.00,PE,N,4.45,4.75,3.50,3.65,3.60,4.30,3.65,188950,3023972612.50,1659350,-8300.00,50,11-May-2023,2023-05-10T18:30:00.000Z,18297.0
12,645ceb902fe10bc5ea539c13,OPTIDX,NIFTY,25-May-2023,16050.00,PE,N,0.00,0.00,0.00,4.60,4.60,4.60,0.05,0,0.00,14750,0.00,50,11-May-2023,2023-05-10T18:30:00.000Z,18297.0
13,645ceb912fe10bc5ea53fdb6,OPTIDX,NIFTY,25-May-2023,16100.00,PE,N,4.80,5.05,4.10,4.25,4.20,5.05,4.25,73300,1180468102.50,411250,-300.00,50,11-May-2023,2023-05-10T18:30:00.000Z,18297.0
14,645ceb912fe10bc5ea53e438,OPTIDX,NIFTY,25-May-2023,16150.00,PE,N,3.05,3.05,3.05,3.05,3.05,7.80,0.05,100,1615305.00,16850,0.00,50,11-May-2023,2023-05-10T18:30:00.000Z,18297.0
15,645ceb902fe10bc5ea538c36,OPTIDX,NIFTY,25-May-2023,16200.00,PE,N,4.60,4.90,3.60,3.75,3.65,4.75,3.75,114750,1859461355.00,163550,22300.00,50,11-May-2023,2023-05-10T18:30:00.000Z,18297.0
16,645ceb912fe10bc5ea54023e,OPTIDX,NIFTY,25-May-2023,16250.00,PE,N,0.00,0.00,0.00,3.20,3.20,3.20,0.05,0,0.00,7500,0.00,50,11-May-2023,2023-05-10T18:30:00.000Z,18297.0
