,_id,FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,TIMESTAMP,FH_UNDERLYING_VALUE
0,65561ccd3ade220ad32fdb87,OPTIDX,NIFTY,30-Nov-2023,17350.00,PE,N,2.25,2.45,1.80,1.95,1.85,2.45,1.95,14500,251604965.00,54400,-850.00,50,16-Nov-2023,2023-11-15T18:30:00.000Z,19765.2
1,65561cce3ade220ad3304768,OPTIDX,NIFTY,30-Nov-2023,17400.00,PE,N,2.25,2.45,1.75,1.90,1.80,2.45,1.90,26200,455933297.50,49300,-3150.00,50,16-Nov-2023,2023-11-15T18:30:00.000Z,19765.2
2,65561ccd3ade220ad32fbed0,OPTIDX,NIFTY,30-Nov-2023,17450.00,PE,N,2.25,2.50,2.10,2.10,2.10,2.50,2.10,2350,41012812.50,7600,-350.00,50,16-Nov-2023,2023-11-15T18:30:00.000Z,19765.2
3,65561ccd3ade220ad32fb025,OPTIDX,NIFTY,30-Nov-2023,17500.00,PE,N,2.45,2.50,1.65,1.95,1.80,2.50,1.95,125800,2201770465.00,308750,-24750.00,50,16-Nov-2023,2023-11-15T18:30:00.000Z,19765.2
4,65561ccd3ade220ad33016d9,OPTIDX,NIFTY,30-Nov-2023,17550.00,PE,N,2.50,2.65,2.25,2.25,2.25,2.70,2.25,3450,60556042.50,7050,700.00,50,16-Nov-2023,2023-11-15T18:30:00.000Z,19765.2
5,65561cce3ade220ad3305bdc,OPTIDX,NIFTY,30-Nov-2023,17600.00,PE,N,2.50,2.50,1.85,1.95,1.95,2.25,1.95,216950,3818792695.00,283050,-106150.00,50,16-Nov-2023,2023-11-15T18:30:00.000Z,19765.2
6,65561cce3ade220ad3306cea,OPTIDX,NIFTY,30-Nov-2023,17650.00,PE,N,2.50,2.75,2.30,2.35,2.35,2.80,2.35,1900,33539820.00,8300,250.00,50,16-Nov-2023,2023-11-15T18:30:00.000Z,19765.2
7,65561ccd3ade220ad3302648,OPTIDX,NIFTY,30-Nov-2023,17700.00,PE,N,3.30,3.30,2.05,2.30,2.30,2.75,2.30,28650,507176905.00,55050,-450.00,50,16-Nov-2023,2023-11-15T18:30:00.000Z,19765.2
8,65561ccd3ade220ad3300748,OPTIDX,NIFTY,30-Nov-2023,17750.00,PE,N,2.50,3.00,1.75,2.10,1.90,2.65,2.10,22950,407417502.50,131050,-2500.00,50,16-Nov-2023,2023-11-15T18:30:00.000Z,19765.2
9,65561ccd3ade220ad32fdc18,OPTIDX,NIFTY,30-Nov-2023,17800.00,PE,N,2.90,3.05,1.80,2.20,2.50,3.00,2.20,150400,2677510532.50,466700,-3700.00,50,16-Nov-2023,2023-11-15T18:30:00.000Z,19765.2
10,65561cce3ade220ad3303b05,OPTIDX,NIFTY,30-Nov-2023,17850.00,PE,N,4.30,4.30,2.65,2.85,2.65,3.40,2.85,8850,157999000.00,8550,650.00,50,16-Nov-2023,2023-11-15T18:30:00.000Z,19765.2
11,65561cce3ade220ad3303aeb,OPTIDX,NIFTY,30-Nov-2023,17900.00,PE,N,3.80,4.65,2.70,3.35,3.55,3.95,3.35,67950,1216535025.00,224200,-2800.00,50,16-Nov-2023,2023-11-15T18:30:00.000Z,19765.2
12,65561ccd3ade220ad32ff337,OPTIDX,NIFTY,30-Nov-2023,17950.00,PE,N,3.40,3.70,2.70,3.00,2.95,3.60,3.00,14050,252242992.50,17300,-700.00,50,16-Nov-2023,2023-11-15T18:30:00.000Z,19765.2
13,65561cce3ade220ad3305364,OPTIDX,NIFTY,30-Nov-2023,18000.00,PE,N,4.10,4.15,2.90,3.05,3.30,4.10,3.05,1112600,20030823382.50,3181650,-161450.00,50,16-Nov-2023,2023-11-15T18:30:00.000Z,19765.2
14,65561ccd3ade220ad32fd06b,OPTIDX,NIFTY,30-Nov-2023,18050.00,PE,N,4.10,4.30,3.15,3.45,3.35,4.35,3.45,17950,324063545.00,13150,750.00,50,16-Nov-2023,2023-11-15T18:30:00.000Z,19765.2
15,65561cce3ade220ad33065cd,OPTIDX,NIFTY,30-Nov-2023,18100.00,PE,N,4.60,4.60,3.45,3.60,3.45,4.60,3.60,133800,2422312632.50,254200,-20550.00,50,16-Nov-2023,2023-11-15T18:30:00.000Z,19765.2
16,65561ccd3ade220ad3300675,OPTIDX,NIFTY,30-Nov-2023,18150.00,PE,N,4.50,4.50,3.60,3.65,3.60,4.85,3.65,16600,301354182.50,23000,-2700.00,50,16-Nov-2023,2023-11-15T18:30:00.000Z,19765.2
