,_id,FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,TIMESTAMP,FH_UNDERLYING_VALUE
0,652800956f25ef9e930bcbe8,OPTIDX,NIFTY,26-Oct-2023,17750.00,CE,N,2097.60,2097.60,2097.60,2097.60,2097.60,2113.95,2089.90,50,992380.00,46650,-50.00,50,12-Oct-2023,2023-10-11T18:30:00.000Z,19794.0
1,652800956f25ef9e930b48a7,OPTIDX,NIFTY,26-Oct-2023,17800.00,CE,N,2015.00,2058.10,2008.00,2034.00,2034.00,2036.05,2034.00,1850,36692030.00,167100,-1350.00,50,12-Oct-2023,2023-10-11T18:30:00.000Z,19794.0
2,652800956f25ef9e930b9ee3,OPTIDX,NIFTY,26-Oct-2023,17850.00,CE,N,0.00,0.00,0.00,1710.00,1710.00,1710.00,1990.15,0,0.00,500,0.00,50,12-Oct-2023,2023-10-11T18:30:00.000Z,19794.0
3,652800956f25ef9e930b5180,OPTIDX,NIFTY,26-Oct-2023,17900.00,CE,N,1934.25,1934.25,1933.70,1934.05,1933.70,1942.20,1934.05,400,7933617.50,9700,0.00,50,12-Oct-2023,2023-10-11T18:30:00.000Z,19794.0
4,652800956f25ef9e930b64a9,OPTIDX,NIFTY,26-Oct-2023,17950.00,CE,N,1865.95,1865.95,1865.95,1865.95,1865.95,1947.75,1890.40,100,1981595.00,100,0.00,50,12-Oct-2023,2023-10-11T18:30:00.000Z,19794.0
5,652800956f25ef9e930bb4eb,OPTIDX,NIFTY,26-Oct-2023,18000.00,CE,N,1877.00,1877.00,1799.80,1844.40,1839.25,1852.20,1844.40,21750,431717747.50,1316150,-4750.00,50,12-Oct-2023,2023-10-11T18:30:00.000Z,19794.0
6,652800966f25ef9e930bf28f,OPTIDX,NIFTY,26-Oct-2023,18050.00,CE,N,0.00,0.00,0.00,2003.90,0.00,2003.90,1790.70,0,0.00,0,0.00,50,12-Oct-2023,2023-10-11T18:30:00.000Z,19794.0
7,652800956f25ef9e930b5750,OPTIDX,NIFTY,26-Oct-2023,18100.00,CE,N,1765.90,1765.90,1741.40,1744.10,1741.40,1740.00,1744.10,300,5956097.50,18050,-100.00,50,12-Oct-2023,2023-10-11T18:30:00.000Z,19794.0
8,652800956f25ef9e930bc380,OPTIDX,NIFTY,26-Oct-2023,18150.00,CE,N,0.00,0.00,0.00,1403.20,1403.20,1403.20,1690.95,0,0.00,250,0.00,50,12-Oct-2023,2023-10-11T18:30:00.000Z,19794.0
9,652800956f25ef9e930b625a,OPTIDX,NIFTY,26-Oct-2023,18200.00,CE,N,1640.00,1653.25,1635.00,1635.00,1635.00,1648.50,1635.00,250,4961000.00,14800,50.00,50,12-Oct-2023,2023-10-11T18:30:00.000Z,19794.0
10,652800956f25ef9e930ba1e7,OPTIDX,NIFTY,26-Oct-2023,18250.00,CE,N,0.00,0.00,0.00,1316.40,1310.55,1316.40,1591.25,0,0.00,200,0.00,50,12-Oct-2023,2023-10-11T18:30:00.000Z,19794.0
11,652800956f25ef9e930b92e5,OPTIDX,NIFTY,26-Oct-2023,18300.00,CE,N,1546.65,1548.00,1546.65,1547.80,1548.00,1551.45,1547.80,650,12901047.50,35950,-650.00,50,12-Oct-2023,2023-10-11T18:30:00.000Z,19794.0
12,652800956f25ef9e930b2ab5,OPTIDX,NIFTY,26-Oct-2023,18350.00,CE,N,0.00,0.00,0.00,1234.35,1234.35,1234.35,1491.55,0,0.00,100,0.00,50,12-Oct-2023,2023-10-11T18:30:00.000Z,19794.0
