,_id,FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,TIMESTAMP,FH_UNDERLYING_VALUE
0,6584388ac646821940ae0e03,OPTIDX,NIFTY,04-Jan-2024,18300.00,PE,N,4.05,7.75,2.30,2.65,2.40,3.65,2.65,17450,319398687.50,10450,7100.00,50,21-Dec-2023,2023-12-20T18:30:00.000Z,21255.05
1,6584388ac646821940ae66d3,OPTIDX,NIFTY,04-Jan-2024,18350.00,PE,N,0.00,0.00,0.00,3.05,3.05,3.05,0.05,0,0.00,1800,0.00,50,21-Dec-2023,2023-12-20T18:30:00.000Z,21255.05
2,6584388ac646821940ae97ea,OPTIDX,NIFTY,04-Jan-2024,18400.00,PE,N,2.60,3.05,2.60,3.05,3.05,13.10,3.05,1150,21163472.50,450,-150.00,50,21-Dec-2023,2023-12-20T18:30:00.000Z,21255.05
3,6584388ac646821940ae2d50,OPTIDX,NIFTY,04-Jan-2024,18450.00,PE,N,0.00,0.00,0.00,14.20,14.20,14.20,0.05,0,0.00,550,0.00,50,21-Dec-2023,2023-12-20T18:30:00.000Z,21255.05
4,6584388ac646821940ae3422,OPTIDX,NIFTY,04-Jan-2024,18500.00,PE,N,6.55,6.75,3.05,3.35,3.05,6.45,3.35,6650,123055080.00,4300,3050.00,50,21-Dec-2023,2023-12-20T18:30:00.000Z,21255.05
5,6584388ac646821940ae084c,OPTIDX,NIFTY,04-Jan-2024,18550.00,PE,N,0.00,0.00,0.00,15.65,15.65,15.65,0.05,0,0.00,500,0.00,50,21-Dec-2023,2023-12-20T18:30:00.000Z,21255.05
6,6584388ac646821940adeb8a,OPTIDX,NIFTY,04-Jan-2024,18600.00,PE,N,0.00,0.00,0.00,17.00,17.00,17.00,0.05,0,0.00,500,0.00,50,21-Dec-2023,2023-12-20T18:30:00.000Z,21255.05
7,6584388bc646821940aed9d9,OPTIDX,NIFTY,04-Jan-2024,18650.00,PE,N,0.00,0.00,0.00,18.05,18.05,18.05,0.05,0,0.00,550,0.00,50,21-Dec-2023,2023-12-20T18:30:00.000Z,21255.05
8,6584388ac646821940ae7f8a,OPTIDX,NIFTY,04-Jan-2024,18700.00,PE,N,0.00,0.00,0.00,18.45,18.45,18.45,0.05,0,0.00,650,0.00,50,21-Dec-2023,2023-12-20T18:30:00.000Z,21255.05
9,6584388ac646821940ae0e6b,OPTIDX,NIFTY,04-Jan-2024,18750.00,PE,N,0.00,0.00,0.00,20.60,20.60,20.60,0.05,0,0.00,500,0.00,50,21-Dec-2023,2023-12-20T18:30:00.000Z,21255.05
10,6584388ac646821940ae4688,OPTIDX,NIFTY,04-Jan-2024,18800.00,PE,N,3.05,3.05,3.05,3.05,3.05,3.05,0.05,550,10341677.50,1400,400.00,50,21-Dec-2023,2023-12-20T18:30:00.000Z,21255.05
11,6584388ac646821940ae32a0,OPTIDX,NIFTY,04-Jan-2024,18850.00,PE,N,0.00,0.00,0.00,23.10,23.10,23.10,0.05,0,0.00,500,0.00,50,21-Dec-2023,2023-12-20T18:30:00.000Z,21255.05
12,6584388ac646821940ae79c2,OPTIDX,NIFTY,04-Jan-2024,18900.00,PE,N,0.00,0.00,0.00,5.50,5.50,5.50,0.05,0,0.00,400,0.00,50,21-Dec-2023,2023-12-20T18:30:00.000Z,21255.05
13,6584388ac646821940aecaa8,OPTIDX,NIFTY,04-Jan-2024,18950.00,PE,N,0.00,0.00,0.00,27.80,27.80,27.80,0.05,0,0.00,550,0.00,50,21-Dec-2023,2023-12-20T18:30:00.000Z,21255.05
14,6584388ac646821940ae68a6,OPTIDX,NIFTY,04-Jan-2024,19000.00,PE,N,6.65,15.00,3.60,4.10,3.95,6.00,4.10,22400,425719237.50,24800,3150.00,50,21-Dec-2023,2023-12-20T18:30:00.000Z,21255.05
15,6584388ac646821940ae7226,OPTIDX,NIFTY,04-Jan-2024,19050.00,PE,N,0.00,0.00,0.00,28.30,28.30,28.30,0.05,0,0.00,600,0.00,50,21-Dec-2023,2023-12-20T18:30:00.000Z,21255.05
16,6584388ac646821940ae4af5,OPTIDX,NIFTY,04-Jan-2024,19100.00,PE,N,0.00,0.00,0.00,35.40,35.40,35.40,0.05,0,0.00,1400,0.00,50,21-Dec-2023,2023-12-20T18:30:00.000Z,21255.05
17,6584388ac646821940ae2771,OPTIDX,NIFTY,04-Jan-2024,19150.00,PE,N,0.00,0.00,0.00,46.10,46.10,46.10,0.05,0,0.00,850,0.00,50,21-Dec-2023,2023-12-20T18:30:00.000Z,21255.05
18,6584388ac646821940ae1533,OPTIDX,NIFTY,04-Jan-2024,19200.00,PE,N,0.00,0.00,0.00,6.45,6.45,6.45,0.05,0,0.00,1600,0.00,50,21-Dec-2023,2023-12-20T18:30:00.000Z,21255.05
19,6584388ac646821940ae6319,OPTIDX,NIFTY,04-Jan-2024,19250.00,PE,N,0.00,0.00,0.00,5.65,5.65,5.65,0.05,0,0.00,1100,0.00,50,21-Dec-2023,2023-12-20T18:30:00.000Z,21255.05
20,6584388ac646821940ae5dbf,OPTIDX,NIFTY,04-Jan-2024,19300.00,PE,N,0.00,0.00,0.00,7.30,7.30,7.30,0.05,0,0.00,2400,0.00,50,21-Dec-2023,2023-12-20T18:30:00.000Z,21255.05
21,6584388ac646821940ae02cd,OPTIDX,NIFTY,04-Jan-2024,19350.00,PE,N,0.00,0.00,0.00,3.05,3.05,3.05,0.05,0,0.00,850,0.00,50,21-Dec-2023,2023-12-20T18:30:00.000Z,21255.05
22,6584388ac646821940ae5f80,OPTIDX,NIFTY,04-Jan-2024,19400.00,PE,N,0.00,0.00,0.00,7.00,7.00,7.00,0.05,0,0.00,2350,0.00,50,21-Dec-2023,2023-12-20T18:30:00.000Z,21255.05
23,6584388ac646821940ae9185,OPTIDX,NIFTY,04-Jan-2024,19450.00,PE,N,0.00,0.00,0.00,64.35,64.35,64.35,0.05,0,0.00,1150,0.00,50,21-Dec-2023,2023-12-20T18:30:00.000Z,21255.05
24,6584388ac646821940aeb875,OPTIDX,NIFTY,04-Jan-2024,19500.00,PE,N,7.45,14.75,4.00,4.75,4.85,5.75,4.75,131650,2568064630.00,65900,8900.00,50,21-Dec-2023,2023-12-20T18:30:00.000Z,21255.05
25,6584388ac646821940aeb429,OPTIDX,NIFTY,04-Jan-2024,19550.00,PE,N,0.00,0.00,0.00,22.90,22.90,22.90,0.05,0,0.00,1250,0.00,50,21-Dec-2023,2023-12-20T18:30:00.000Z,21255.05
26,6584388ac646821940ae07a9,OPTIDX,NIFTY,04-Jan-2024,19600.00,PE,N,5.45,6.10,4.55,5.75,5.60,5.90,5.75,3850,75482295.00,3600,-350.00,50,21-Dec-2023,2023-12-20T18:30:00.000Z,21255.05
27,6584388ac646821940ae63c3,OPTIDX,NIFTY,04-Jan-2024,19650.00,PE,N,6.75,6.90,6.65,6.65,6.65,6.65,0.05,1800,35382370.00,1750,1450.00,50,21-Dec-2023,2023-12-20T18:30:00.000Z,21255.05
